26-mar-2019,,,,,,,,,,,
iShares U.S. Consumer Services ETF,,,,,,,,,,,
Inception Date,12 jun 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 852.798.179,24",,,,,,,,,,
Number of Securities,"168,00",,,,,,,,,,
Share,"4.200.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
BURL,BURLINGTON STORES INC,Equity,0.30,146.80,"17,269.00","2,535,089.20","2,535,089.20",Consumo discrecional,BF311Y5,US1220171060,New York Stock Exchange Inc.
DPZ,DOMINOS PIZZA INC,Equity,0.29,245.40,"10,089.00","2,475,840.60","2,475,840.60",Consumo discrecional,B01SD70,US25754A2015,New York Stock Exchange Inc.
VIAB,VIACOM INC CLASS B,Equity,0.29,28.33,"87,038.00","2,465,786.54","2,465,786.54",Comunicación,B0SRLF4,US92553P2011,NASDAQ
W,WAYFAIR INC CLASS A,Equity,0.28,158.50,"15,312.00","2,426,952.00","2,426,952.00",Consumo discrecional,BQXZP64,US94419L1017,New York Stock Exchange Inc.
DISCK,DISCOVERY INC SERIES C,Equity,0.27,26.11,"88,829.00","2,319,325.19","2,319,325.19",Comunicación,B3D7KG4,US25470F3029,NASDAQ
LKQ,LKQ CORP,Equity,0.26,28.32,"77,329.00","2,189,957.28","2,189,957.28",Consumo discrecional,2971029,US5018892084,NASDAQ
MTN,VAIL RESORTS INC,Equity,0.25,213.02,"9,960.00","2,121,679.20","2,121,679.20",Consumo discrecional,2954194,US91879Q1094,New York Stock Exchange Inc.
M,MACYS INC,Equity,0.21,23.93,"75,910.00","1,816,526.30","1,816,526.30",Consumo discrecional,2345022,US55616P1049,New York Stock Exchange Inc.
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.21,1.00,"1,811,836.00","1,811,835.88","1,811,835.88",Efectivo y Derivados,--,US0669224778,--
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS I,Equity,0.21,124.22,"14,554.00","1,807,897.88","1,807,897.88",Consumo discrecional,B7MJWP2,US1091941005,New York Stock Exchange Inc.
SCI,SERVICE,Equity,0.21,40.01,"45,128.00","1,805,571.28","1,805,571.28",Consumo discrecional,2797560,US8175651046,New York Stock Exchange Inc.
DISH,DISH NETWORK CORP CLASS A,Equity,0.21,31.54,"56,989.00","1,797,433.06","1,797,433.06",Comunicación,2303581,US25470M1099,NASDAQ
ARMK,ARAMARK,Equity,0.21,29.47,"60,104.00","1,771,264.88","1,771,264.88",Consumo discrecional,BH3XG17,US03852U1060,New York Stock Exchange Inc.
CABO,CABLE ONE INC,Equity,0.21,976.32,"1,791.00","1,748,589.12","1,748,589.12",Comunicación,BZ07DS4,US12685J1051,New York Stock Exchange Inc.
FWONK,LIBERTY MEDIA FORMULA ONE CORP SER,Equity,0.20,34.45,"50,456.00","1,738,209.20","1,738,209.20",Comunicación,BD8QGD5,US5312298541,NASDAQ
QRTEA,QURATE RETAIL INC SERIES A,Equity,0.20,16.44,"104,283.00","1,714,412.52","1,714,412.52",Consumo discrecional,BZ19HB0,US74915M1009,NASDAQ
ALK,ALASKA AIR GROUP INC,Equity,0.19,53.91,"30,640.00","1,651,802.40","1,651,802.40",Industriales,2012605,US0116591092,New York Stock Exchange Inc.
FL,FOOT LOCKER INC,Equity,0.19,58.23,"28,122.00","1,637,544.06","1,637,544.06",Consumo discrecional,2980906,US3448491049,New York Stock Exchange Inc.
KAR,KAR AUCTION SERVICES INC,Equity,0.19,49.25,"33,204.00","1,635,297.00","1,635,297.00",Industriales,B4Y1MH7,US48238T1097,New York Stock Exchange Inc.
FIVE,FIVE BELOW INC,Equity,0.19,117.23,"13,909.00","1,630,552.07","1,630,552.07",Consumo discrecional,B85KFY9,US33829M1018,NASDAQ
LSXMK,LIBERTY MEDIA LIBERTY SIRIUSXM COR,Equity,0.19,38.26,"42,203.00","1,614,686.78","1,614,686.78",Comunicación,BD8QGH9,US5312296073,NASDAQ
LB,L BRANDS INC,Equity,0.19,27.93,"57,100.00","1,594,803.00","1,594,803.00",Consumo discrecional,B9M2WX3,US5017971046,New York Stock Exchange Inc.
SERV,SERVICEMASTER GLOBAL HOLDINGS INC,Equity,0.18,46.46,"33,834.00","1,571,927.64","1,571,927.64",Consumo discrecional,BNG8BF0,US81761R1095,New York Stock Exchange Inc.
FOX,FOX CORP CLASS B,Equity,0.18,36.71,"41,642.00","1,528,677.82","1,528,677.82",Comunicación,BJJMGY5,US35137L2043,NASDAQ
ROL,ROLLINS INC,Equity,0.18,40.99,"36,944.00","1,514,334.56","1,514,334.56",Industriales,2747305,US7757111049,New York Stock Exchange Inc.
DNKN,DUNKIN BRANDS GROUP INC,Equity,0.18,72.96,"20,735.00","1,512,825.60","1,512,825.60",Consumo discrecional,B3LHT03,US2655041000,NASDAQ
PLNT,PLANET FITNESS INC CLASS A,Equity,0.17,67.07,"22,091.00","1,481,643.37","1,481,643.37",Consumo discrecional,BYSFJV8,US72703H1014,New York Stock Exchange Inc.
GLIBA,GCI LIBERTY INC CLASS A,Equity,0.16,55.75,"24,766.00","1,380,704.50","1,380,704.50",Comunicación,BF7J0Q0,US36164V3050,NASDAQ
LOPE,GRAND CANYON EDUCATION INC,Equity,0.16,113.60,"12,135.00","1,378,536.00","1,378,536.00",Consumo discrecional,B3F1XM1,US38526M1062,NASDAQ
GPS,GAP INC,Equity,0.16,25.33,"53,669.00","1,359,435.77","1,359,435.77",Consumo discrecional,2360326,US3647601083,New York Stock Exchange Inc.
NXST,NEXSTAR MEDIA GROUP INC CLASS A,Equity,0.16,107.76,"12,452.00","1,341,827.52","1,341,827.52",Comunicación,2949758,US65336K1034,NASDAQ
WH,WYNDHAM HOTELS RESORTS INC,Equity,0.15,49.53,"26,619.00","1,318,439.07","1,318,439.07",Consumo discrecional,BF108P4,US98311A1051,New York Stock Exchange Inc.
TRIP,TRIPADVISOR INC,Equity,0.15,50.92,"25,872.00","1,317,402.24","1,317,402.24",Comunicación,B6ZC3N6,US8969452015,NASDAQ
LBTYA,LIBERTY GLOBAL PLC CLASS A,Equity,0.15,25.48,"50,638.00","1,290,256.24","1,290,256.24",Comunicación,B8W6766,GB00B8W67662,NASDAQ
CNK,CINEMARK HOLDINGS INC,Equity,0.15,40.39,"31,286.00","1,263,641.54","1,263,641.54",Comunicación,B1W7RQ0,US17243V1026,New York Stock Exchange Inc.
HRB,H&R BLOCK INC,Equity,0.15,24.29,"51,930.00","1,261,379.70","1,261,379.70",Consumo discrecional,2105505,US0936711052,New York Stock Exchange Inc.
JWN,NORDSTROM INC,Equity,0.15,43.73,"28,667.00","1,253,607.91","1,253,607.91",Consumo discrecional,2641827,US6556641008,New York Stock Exchange Inc.
MSG,MADISON SQUARE GARDEN CLASS A,Equity,0.15,286.11,"4,372.00","1,250,872.92","1,250,872.92",Comunicación,BYQCZ35,US55825T1034,New York Stock Exchange Inc.
NWSA,NEWS CORP CLASS A,Equity,0.14,12.42,"97,419.00","1,209,943.98","1,209,943.98",Comunicación,BBGVT40,US65249B1098,NASDAQ
NYT,NEW YORK TIMES CLASS A,Equity,0.14,32.61,"36,250.00","1,182,112.50","1,182,112.50",Comunicación,2632003,US6501111073,New York Stock Exchange Inc.
CASY,CASEYS GENERAL STORES INC,Equity,0.14,125.84,"9,281.00","1,167,921.04","1,167,921.04",Productos básicos de consumo,2179414,US1475281036,NASDAQ
WSM,WILLIAMS SONOMA INC,Equity,0.14,57.33,"20,147.00","1,155,027.51","1,155,027.51",Consumo discrecional,2967589,US9699041011,New York Stock Exchange Inc.
DISCA,DISCOVERY INC SERIES A,Equity,0.13,27.64,"40,044.00","1,106,816.16","1,106,816.16",Comunicación,B3D7K31,US25470F1049,NASDAQ
JBLU,JETBLUE AIRWAYS CORP,Equity,0.13,15.78,"69,257.00","1,092,875.46","1,092,875.46",Industriales,2852760,US4771431016,NASDAQ
CZR,CAESARS ENTERTAINMENT CORP,Equity,0.13,8.45,"128,359.00","1,084,633.55","1,084,633.55",Consumo discrecional,B3TDL41,US1276861036,NASDAQ
