26-Mar-2019,,,,,,,,,,,,,,,
iShares Expanded Tech-Software Sector ETF,,,,,,,,,,,,,,,
Inception Date,"Jul 10, 2001",,,,,,,,,,,,,,
Fund Holdings as of,"Mar 26, 2019",,,,,,,,,,,,,,
Total Net Assets,"$2,715,549,165.94",,,,,,,,,,,,,,
Number of Securities (excluding cash and derivatives),90.00,,,,,,,,,,,,,,
Share,"12,950,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
YEXT,YEXT INC,Equity,0.12,21.17,"156,513.00","3,313,380.21","3,313,380.21",Information Technology,BD8ZJW2,US98585N1063,New York Stock Exchange Inc.,United States,USD,USD,1.00
BNFT,BENEFITFOCUS INC,Equity,0.12,47.83,"66,116.00","3,162,328.28","3,162,328.28",Information Technology,BDFN1P6,US08180D1063,NASDAQ,United States,USD,USD,1.00
EPAY,BOTTOMLINE TECHNOLOGIES INC,Equity,0.11,48.41,"64,147.00","3,105,356.27","3,105,356.27",Information Technology,2389558,US1013881065,NASDAQ,United States,USD,USD,1.00
MSTR,MICROSTRATEGY INC CLASS A,Equity,0.11,145.65,"21,000.00","3,058,650.00","3,058,650.00",Information Technology,2974329,US5949724083,NASDAQ,United States,USD,USD,1.00
CISN,CISION LTD,Equity,0.10,13.74,"193,257.00","2,655,351.18","2,655,351.18",Information Technology,BF0BQG5,KYG1992S1093,New York Stock Exchange Inc.,United States,USD,USD,1.00
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.09,1.00,"2,476,383.00","2,476,383.17","2,476,383.17",Cash and/or Derivatives,--,US0669224778,--,United States,USD,USD,1.00
TIVO,TIVO CORP,Equity,0.09,9.19,"267,149.00","2,455,099.31","2,455,099.31",Information Technology,BD8FFY6,US88870P1066,NASDAQ,United States,USD,USD,1.00
PVTL,PIVOTAL SOFTWARE INC CLASS A,Equity,0.08,20.75,"109,200.00","2,265,900.00","2,265,900.00",Information Technology,BZ197M1,US72582H1077,New York Stock Exchange Inc.,United States,USD,USD,1.00
AVYA,AVAYA HOLDINGS CORP,Equity,0.07,17.75,"110,939.00","1,969,167.25","1,969,167.25",Information Technology,BD9G9B3,US05351X1019,New York Stock Exchange Inc.,United States,USD,USD,1.00
EBIX,EBIX INC,Equity,0.04,48.67,"19,737.00","960,599.79","960,599.79",Information Technology,2008400,US2787152063,NASDAQ,United States,USD,USD,1.00
USD,USD CASH,Cash,-0.05,100.00,"-1,490,854.00","-1,490,854.42","-1,490,854.42",Cash and/or Derivatives,--,--,--,United States,USD,USD,1.00
