14-mar-2019,,,,,,,,,,,,,,,
iShares Core MSCI Emerging Markets ETF,,,,,,,,,,,,,,,
Inception Date,18-oct-2012,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 59,071,783,669.14",,,,,,,,,,,,,,
Number of Securities,"2,232.00",,,,,,,,,,,,,,
Share,"1,143,600,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
GMKN,GMK NORILSKIY NIKEL,Equity,0.24,213.06,"667,388.00","142,191,301.46","142,191,301.46",Materiales,B5B1TX2,RU0007288411,Standard-Classica-Forts,Rusia,USD,RUB,65.49
FSR,FIRSTRAND LTD,Equity,0.24,4.31,"32,907,527.00","141,947,094.31","141,947,094.31",Financieros,6606996,ZAE000066304,Johannesburg Stock Exchange,Sudáfrica,USD,ZAR,14.50
1288,AGRICULTURAL BANK OF CHINA LTD H,Equity,0.23,0.47,"288,619,000.00","136,405,517.23","136,405,517.23",Financieros,B60LZR6,CNE100000Q43,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
857,PETROCHINA LTD H,Equity,0.23,0.65,"207,970,000.00","135,644,991.37","135,644,991.37",Energía,6226576,CNE1000003W8,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
WALMEX*,WALMART DE MEXICO V,Equity,0.23,2.63,"51,282,796.00","134,738,317.69","134,738,317.69",Productos básicos de consumo,BW1YVH8,MX01WA000038,Bolsa Mexicana De Valores,México,USD,MXN,19.30
688,CHINA OVERSEAS LAND & INVESTMENT L,Equity,0.23,3.59,"37,366,000.00","134,232,854.99","134,232,854.99",Bienes Raíces,6192150,HK0688002218,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
ICICIBANK,ICICI BANK LTD,Equity,0.23,5.59,"23,951,424.00","133,809,921.43","133,809,921.43",Financieros,BSZ2BY7,INE090A01021,National Stock Exchange Of India,India,USD,INR,69.43
GFNORTEO,GPO FINANCE BANORTE,Equity,0.23,5.17,"25,555,778.00","132,010,987.48","132,010,987.48",Financieros,2421041,MXP370711014,Bolsa Mexicana De Valores,México,USD,MXN,19.30
2454,MEDIATEK INC,Equity,0.22,8.82,"14,811,572.00","130,611,396.35","130,611,396.35",Tecnología de la Información,6372480,TW0002454006,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
2412,CHUNGHWA TELECOM LTD,Equity,0.22,3.48,"37,111,000.00","129,099,491.94","129,099,491.94",Comunicación,6287841,TW0002412004,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
TLKM,TELEKOMUNIKASI INDONESIA,Equity,0.22,0.26,"490,037,000.00","128,116,493.31","128,116,493.31",Comunicación,BD4T6W7,ID1000129000,Indonesia Stock Exchange,Indonesia,USD,IDR,"14,267.00"
CPALL.R,CP ALL NON-VOTING DR PCL,Equity,0.21,2.43,"49,823,600.00","121,081,340.15","121,081,340.15",Productos básicos de consumo,B08YDH1,TH0737010R15,Stock Exchange Of Thailand,Tailandia,USD,THB,31.79
1303,NAN YA PLASTICS CORP,Equity,0.21,2.45,"49,292,440.00","120,591,174.16","120,591,174.16",Materiales,6621580,TW0001303006,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
BBAS3,BANCO DO BRASIL SA,Equity,0.20,14.02,"8,507,013.00","119,253,044.56","119,253,044.56",Financieros,2328595,BRBBASACNOR3,XBSP,Brasil,USD,BRL,3.83
1326,FORMOSA CHEMICALS & FIBRE CORP,Equity,0.20,3.48,"34,242,210.00","119,119,719.60","119,119,719.60",Materiales,6348715,TW0001326007,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
012330,HYUNDAI MOBIS LTD,Equity,0.20,176.26,"669,979.00","118,089,186.57","118,089,186.57",Consumo discrecional,6449544,KR7012330007,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
2882,CATHAY FINANCIAL HOLDING LTD,Equity,0.20,1.46,"79,805,078.00","116,471,717.62","116,471,717.62",Financieros,6425663,TW0002882008,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
TAL,TAL EDUCATION GROUP ADR REPTG,Equity,0.20,32.99,"3,519,683.00","116,114,342.17","116,114,342.17",Consumo discrecional,B4MGD82,US8740801043,New York Stock Exchange Inc.,China,USD,USD,1.00
2891,CTBC FINANCIAL HOLDING LTD,Equity,0.20,0.67,"171,856,599.00","114,285,583.76","114,285,583.76",Financieros,6527666,TW0002891009,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
1216,UNI-PRESIDENT ENTERPRISES CORP,Equity,0.19,2.34,"47,247,369.00","110,542,514.36","110,542,514.36",Productos básicos de consumo,6700393,TW0001216000,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
051900,LG HOUSEHOLD & HEALTH CARE LTD,Equity,0.19,"1,180.93","92,765.00","109,548,867.54","109,548,867.54",Productos básicos de consumo,6344456,KR7051900009,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
MARUTI,MARUTI SUZUKI INDIA LTD,Equity,0.19,102.06,"1,066,146.00","108,811,153.28","108,811,153.28",Consumo discrecional,6633712,INE585B01010,National Stock Exchange Of India,India,USD,INR,69.43
MTN,MTN GROUP LTD,Equity,0.19,6.49,"16,715,528.00","108,494,169.51","108,494,169.51",Comunicación,6563206,ZAE000042164,Johannesburg Stock Exchange,Sudáfrica,USD,ZAR,14.50
EDU,NEW ORIENTAL EDUCATION & TECHNOLOG,Equity,0.18,76.07,"1,415,181.00","107,652,818.67","107,652,818.67",Consumo discrecional,B1CN1G6,US6475811070,New York Stock Exchange Inc.,China,USD,USD,1.00
2007,COUNTRY GARDEN HOLDINGS LTD,Equity,0.18,1.42,"75,183,733.00","106,694,537.62","106,694,537.62",Bienes Raíces,B1VKYN6,KYG245241032,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
033780,KT&G CORP,Equity,0.18,92.98,"1,142,204.00","106,197,692.78","106,197,692.78",Productos básicos de consumo,6175076,KR7033780008,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
096770,SK INNOVATION LTD,Equity,0.18,167.45,"631,933.00","105,814,109.46","105,814,109.46",Energía,B232R05,KR7096770003,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
1109,CHINA RESOURCES LAND LTD,Equity,0.18,3.87,"27,243,777.00","105,331,706.82","105,331,706.82",Bienes Raíces,6193766,KYG2108Y1052,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
1918,SUNAC CHINA HOLDINGS LTD,Equity,0.18,4.34,"23,997,000.00","104,242,409.19","104,242,409.19",Bienes Raíces,B4XRPN3,KYG8569A1067,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
BBDC3,BANCO BRADESCO SA,Equity,0.18,10.33,"10,086,424.00","104,197,181.92","104,197,181.92",Financieros,B00FM86,BRBBDCACNOR1,XBSP,Brasil,USD,BRL,3.83
006400,SAMSUNG SDI LTD,Equity,0.18,186.83,"551,771.00","103,089,320.53","103,089,320.53",Tecnología de la Información,6771645,KR7006400006,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
FAB,FIRST ABU DHABI BANK,Equity,0.17,3.95,"25,823,984.00","101,941,866.79","101,941,866.79",Financieros,6624471,AEN000101016,Abu Dhabi Securities Exchange,Emiratos Árabes Unidos,USD,AED,3.67
2313,SHENZHOU INTERNATIONAL GROUP LTD,Equity,0.17,13.53,"7,533,700.00","101,921,533.26","101,921,533.26",Consumo discrecional,B0MP1B0,KYG8087W1015,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
