14-mar-2019,,,,,,,,,,,
iShares S&P 500 Growth ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 22,414,923,835.96",,,,,,,,,,
Number of Securities,296.00,,,,,,,,,,
Share,"131,000,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
VRSN,VERISIGN INC,Equity,0.15,181.43,"188,869.00","34,266,502.67","34,266,502.67",Tecnología de la Información,2142922,US92343E1029,NASDAQ
ROST,ROSS STORES INC,Equity,0.15,89.24,"378,192.00","33,749,854.08","33,749,854.08",Consumo discrecional,2746711,US7782961038,NASDAQ
EQR,EQUITY RESIDENTIAL REIT,Equity,0.15,75.06,"446,781.00","33,535,381.86","33,535,381.86",Bienes Raíces,2319157,US29476L1070,New York Stock Exchange Inc.
CERN,CERNER CORP,Equity,0.15,57.14,"585,265.00","33,442,042.10","33,442,042.10",Cuidado de la Salud,2185284,US1567821046,NASDAQ
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.15,200.07,"166,826.00","33,376,877.82","33,376,877.82",Bienes Raíces,2131179,US0534841012,New York Stock Exchange Inc.
AME,AMETEK INC,Equity,0.15,80.65,"412,078.00","33,234,090.70","33,234,090.70",Industriales,2089212,US0311001004,New York Stock Exchange Inc.
REGN,REGENERON PHARMACEUTICALS INC,Equity,0.15,407.50,"81,464.00","33,196,580.00","33,196,580.00",Cuidado de la Salud,2730190,US75886F1075,NASDAQ
IDXX,IDEXX LABORATORIES INC,Equity,0.14,210.87,"153,169.00","32,298,747.03","32,298,747.03",Cuidado de la Salud,2459202,US45168D1046,NASDAQ
FAST,FASTENAL,Equity,0.14,62.19,"508,865.00","31,646,314.35","31,646,314.35",Industriales,2332262,US3119001044,NASDAQ
AEE,AMEREN CORP,Equity,0.14,72.61,"435,646.00","31,632,256.06","31,632,256.06",Servicios,2050832,US0236081024,New York Stock Exchange Inc.
ITW,ILLINOIS TOOL INC,Equity,0.14,144.90,"217,539.00","31,521,401.10","31,521,401.10",Industriales,2457552,US4523081093,New York Stock Exchange Inc.
CTAS,CINTAS CORP,Equity,0.14,204.89,"153,615.00","31,474,177.35","31,474,177.35",Industriales,2197137,US1729081059,NASDAQ
ULTA,ULTA BEAUTY INC,Equity,0.14,312.51,"99,922.00","31,226,624.22","31,226,624.22",Consumo discrecional,B28TS42,US90384S3031,NASDAQ
MKC,MCCORMICK & CO NON-VOTING INC,Equity,0.14,139.46,"215,966.00","30,118,618.36","30,118,618.36",Productos básicos de consumo,2550161,US5797802064,New York Stock Exchange Inc.
ETN,EATON PLC,Equity,0.13,80.99,"370,977.00","30,045,427.23","30,045,427.23",Industriales,B8KQN82,IE00B8KQN827,New York Stock Exchange Inc.
USD,USD CASH,Cash,0.13,100.00,"29,719,546.00","29,719,545.64","29,719,545.64",Liquidez,--,--,--
FRC,FIRST REPUBLIC BANK,Equity,0.13,102.92,"288,738.00","29,716,914.96","29,716,914.96",Financieros,B4WHY15,US33616C1009,New York Stock Exchange Inc.
NTAP,NETAPP INC,Equity,0.13,65.74,"447,062.00","29,389,855.88","29,389,855.88",Tecnología de la Información,2630643,US64110D1046,NASDAQ
CHD,CHURCH AND DWIGHT INC,Equity,0.13,66.93,"436,639.00","29,224,248.27","29,224,248.27",Productos básicos de consumo,2195841,US1713401024,New York Stock Exchange Inc.
MSCI,MSCI INC,Equity,0.13,186.81,"156,010.00","29,144,228.10","29,144,228.10",Financieros,B2972D2,US55354G1004,New York Stock Exchange Inc.
IQV,IQVIA HOLDINGS INC,Equity,0.13,140.98,"205,055.00","28,908,653.90","28,908,653.90",Cuidado de la Salud,BDR73G1,US46266C1053,New York Stock Exchange Inc.
