14-mar-2019,,,,,,,,,,,,,,,
iShares Core MSCI EAFE ETF,,,,,,,,,,,,,,,
Inception Date,18-oct-2012,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 58,729,535,154.33",,,,,,,,,,,,,,
Number of Securities,"2,476.00",,,,,,,,,,,,,,
Share,"964,800,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
ITX,INDUSTRIA DE DISENO TEXTIL INDITEX,Equity,0.19,28.34,"3,953,753.00","112,050,868.38","112,050,868.38",Consumo discrecional,BP9DL90,ES0148396007,Bolsa De Madrid,España,USD,EUR,0.88
7974,NINTENDO LTD,Equity,0.19,271.03,"412,400.00","111,774,722.52","111,774,722.52",Comunicación,6639550,JP3756600007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
VIV,VIVENDI SA,Equity,0.19,29.31,"3,753,968.00","110,038,444.15","110,038,444.15",Comunicación,4834777,FR0000127771,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
ORA,ORANGE SA,Equity,0.19,15.58,"7,055,110.00","109,941,565.84","109,941,565.84",Comunicación,5176177,FR0000133308,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
AD,KONINKLIJKE AHOLD DELHAIZE NV,Equity,0.19,25.50,"4,297,109.00","109,588,964.57","109,588,964.57",Productos básicos de consumo,BD0Q398,NL0011794037,Euronext Amsterdam,Holanda,USD,EUR,0.88
VOW3,VOLKSWAGEN NON-VOTING PREF AG,Equity,0.19,162.97,"672,323.00","109,565,569.50","109,565,569.50",Consumo discrecional,5497168,DE0007664039,Xetra,Alemania,USD,EUR,0.88
6098,RECRUIT HOLDINGS LTD,Equity,0.19,27.45,"3,989,100.00","109,511,006.98","109,511,006.98",Industriales,BQRRZ00,JP3970300004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
8766,TOKIO MARINE HOLDINGS INC,Equity,0.19,46.44,"2,356,700.00","109,439,308.99","109,439,308.99",Financieros,6513126,JP3910660004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
TSCO,TESCO PLC,Equity,0.18,3.03,"35,404,266.00","107,363,751.74","107,363,751.74",Productos básicos de consumo,0884709,GB0008847096,London Stock Exchange,Reino Unido,USD,GBP,0.75
9437,NTT DOCOMO INC,Equity,0.18,22.28,"4,793,200.00","106,808,730.76","106,808,730.76",Comunicación,6129277,JP3165650007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
SREN,SWISS RE AG,Equity,0.18,98.64,"1,073,591.00","105,900,140.65","105,900,140.65",Financieros,B545MG5,CH0126881561,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
4503,ASTELLAS PHARMA INC,Equity,0.18,15.44,"6,849,600.00","105,729,817.40","105,729,817.40",Cuidado de la Salud,6985383,JP3942400007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
ERIC B,ERICSSON B,Equity,0.18,9.49,"11,142,699.00","105,698,277.34","105,698,277.34",Tecnología de la Información,5959378,SE0000108656,Nasdaq Omx Nordic,Suecia,USD,SEK,9.31
4063,SHIN ETSU CHEMICAL LTD,Equity,0.18,79.89,"1,312,400.00","104,843,984.96","104,843,984.96",Materiales,6804585,JP3371200001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
6501,HITACHI LTD,Equity,0.18,30.20,"3,471,300.00","104,835,000.00","104,835,000.00",Tecnología de la Información,6429104,JP3788600009,Tokyo Stock Exchange,Japón,USD,JPY,111.72
MQG,MACQUARIE GROUP LTD DEF,Equity,0.18,89.48,"1,167,709.00","104,483,934.86","104,483,934.86",Financieros,B28YTC2,AU000000MQG1,Asx - All Markets,Australia,USD,AUD,1.42
9020,EAST JAPAN RAILWAY,Equity,0.18,95.33,"1,083,400.00","103,277,926.96","103,277,926.96",Industriales,6298542,JP3783600004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
