14-mar-2019,,,,,,,,,,,
iShares Core S&P Mid-Cap ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 48,155,344,052.45",,,,,,,,,,
Number of Securities,399.00,,,,,,,,,,
Share,"253,600,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
GNTX,GENTEX CORP,Equity,0.32,20.55,"7,509,608.00","154,322,444.40","154,322,444.40",Consumo discrecional,2366799,US3719011096,NASDAQ
VSM,VERSUM MATERIALS INC,Equity,0.32,49.40,"3,120,293.00","154,142,474.20","154,142,474.20",Tecnología de la Información,BD37KN1,US92532W1036,New York Stock Exchange Inc.
MPWR,MONOLITHIC POWER SYSTEMS INC,Equity,0.32,137.95,"1,117,385.00","154,143,260.75","154,143,260.75",Tecnología de la Información,B01Z7J1,US6098391054,NASDAQ
WWD,WOODWARD INC,Equity,0.32,95.25,"1,592,583.00","151,693,530.75","151,693,530.75",Industriales,2948089,US9807451037,NASDAQ
PRI,PRIMERICA INC,Equity,0.32,123.22,"1,229,184.00","151,460,052.48","151,460,052.48",Financieros,B50K3X8,US74164M1080,New York Stock Exchange Inc.
CHE,CHEMED CORP,Equity,0.31,329.28,"458,437.00","150,954,135.36","150,954,135.36",Cuidado de la Salud,2190084,US16359R1032,New York Stock Exchange Inc.
BRX,BRIXMOR PROPERTY GROUP REIT INC,Equity,0.31,17.61,"8,568,806.00","150,896,673.66","150,896,673.66",Bienes Raíces,BFTDJL8,US11120U1051,New York Stock Exchange Inc.
AYI,ACUITY BRANDS INC,Equity,0.31,131.39,"1,147,917.00","150,824,814.63","150,824,814.63",Industriales,2818461,US00508Y1029,New York Stock Exchange Inc.
MAN,MANPOWER INC,Equity,0.31,84.02,"1,770,626.00","148,767,996.52","148,767,996.52",Industriales,2562490,US56418H1005,New York Stock Exchange Inc.
NFG,NATIONAL FUEL GAS,Equity,0.31,60.42,"2,461,585.00","148,728,965.70","148,728,965.70",Servicios,2626103,US6361801011,New York Stock Exchange Inc.
ARRS,ARRIS INTERNATIONAL PLC,Equity,0.31,31.68,"4,680,407.00","148,275,293.76","148,275,293.76",Tecnología de la Información,BZ04Y37,GB00BZ04Y379,NASDAQ
WBS,WEBSTER FINANCIAL CORP,Equity,0.31,55.64,"2,641,395.00","146,967,217.80","146,967,217.80",Financieros,2945143,US9478901096,New York Stock Exchange Inc.
UTHR,UNITED THERAPEUTICS CORP,Equity,0.30,117.03,"1,248,140.00","146,069,824.20","146,069,824.20",Cuidado de la Salud,2430412,US91307C1027,NASDAQ
JBLU,JETBLUE AIRWAYS CORP,Equity,0.30,16.71,"8,732,597.00","145,921,695.87","145,921,695.87",Industriales,2852760,US4771431016,NASDAQ
NATI,NATIONAL INSTRUMENTS CORP,Equity,0.30,45.07,"3,223,571.00","145,286,344.97","145,286,344.97",Tecnología de la Información,2645078,US6365181022,NASDAQ
EQT,EQT CORP,Equity,0.30,19.86,"7,284,108.00","144,662,384.88","144,662,384.88",Energía,2319414,US26884L1098,New York Stock Exchange Inc.
WH,WYNDHAM HOTELS RESORTS INC,Equity,0.30,50.91,"2,840,321.00","144,600,742.11","144,600,742.11",Consumo discrecional,BF108P4,US98311A1051,New York Stock Exchange Inc.
MDU,MDU RESOURCES GROUP INC,Equity,0.30,25.69,"5,613,816.00","144,218,933.04","144,218,933.04",Servicios,2547323,US5526901096,New York Stock Exchange Inc.
CW,CURTISS WRIGHT CORP,Equity,0.30,114.63,"1,254,068.00","143,753,814.84","143,753,814.84",Industriales,2241205,US2315611010,New York Stock Exchange Inc.
IDA,IDACORP INC,Equity,0.30,99.28,"1,442,817.00","143,242,871.76","143,242,871.76",Servicios,2296937,US4511071064,New York Stock Exchange Inc.
ITT,ITT INC,Equity,0.30,57.07,"2,507,489.00","143,102,397.23","143,102,397.23",Industriales,BZBY209,US45073V1089,New York Stock Exchange Inc.
GWR,GENESEE & WYOMING INC CLASS A,Equity,0.30,84.92,"1,671,337.00","141,929,938.04","141,929,938.04",Industriales,2374060,US3715591059,New York Stock Exchange Inc.
PII,POLARIS INDUSTRIES INC,Equity,0.30,85.28,"1,662,757.00","141,799,916.96","141,799,916.96",Consumo discrecional,2692933,US7310681025,New York Stock Exchange Inc.
THG,HANOVER INSURANCE GROUP INC,Equity,0.29,116.46,"1,212,021.00","141,151,965.66","141,151,965.66",Financieros,2020415,US4108671052,New York Stock Exchange Inc.
ASH,ASHLAND GLOBAL INC,Equity,0.29,78.77,"1,788,733.00","140,898,498.41","140,898,498.41",Materiales,BYND5N1,US0441861046,New York Stock Exchange Inc.
WPX,WPX ENERGY INC,Equity,0.29,12.44,"11,312,113.00","140,722,685.72","140,722,685.72",Energía,B40PCD9,US98212B1035,New York Stock Exchange Inc.
TOL,TOLL BROTHERS INC,Equity,0.29,36.15,"3,882,204.00","140,341,674.60","140,341,674.60",Consumo discrecional,2896092,US8894781033,New York Stock Exchange Inc.
MUR,MURPHY OIL CORP,Equity,0.29,30.12,"4,654,678.00","140,198,901.36","140,198,901.36",Energía,2611206,US6267171022,New York Stock Exchange Inc.
PB,PROSPERITY BANCSHARES INC,Equity,0.29,72.98,"1,899,315.00","138,612,008.70","138,612,008.70",Financieros,2310257,US7436061052,New York Stock Exchange Inc.
AVT,AVNET INC,Equity,0.29,43.50,"3,183,923.00","138,500,650.50","138,500,650.50",Tecnología de la Información,2066505,US0538071038,NASDAQ
PACW,PACWEST BANCORP,Equity,0.29,39.63,"3,486,034.00","138,151,527.42","138,151,527.42",Financieros,2619772,US6952631033,NASDAQ
NYT,NEW YORK TIMES CLASS A,Equity,0.29,34.18,"4,039,611.00","138,073,903.98","138,073,903.98",Comunicación,2632003,US6501111073,New York Stock Exchange Inc.
FHN,FIRST HORIZON NATIONAL CORP,Equity,0.29,14.87,"9,274,747.00","137,915,487.89","137,915,487.89",Financieros,2341484,US3205171057,New York Stock Exchange Inc.
EV,EATON VANCE COM NON VOTING CORP,Equity,0.29,41.20,"3,335,268.00","137,413,041.60","137,413,041.60",Financieros,2301057,US2782651036,New York Stock Exchange Inc.
BMS,BEMIS INC,Equity,0.29,52.65,"2,605,016.00","137,154,092.40","137,154,092.40",Materiales,2090173,US0814371052,New York Stock Exchange Inc.
CZR,CAESARS ENTERTAINMENT CORP,Equity,0.28,8.16,"16,688,003.00","136,174,104.48","136,174,104.48",Consumo discrecional,B3TDL41,US1276861036,NASDAQ
HIW,HIGHWOODS PROPERTIES REIT INC,Equity,0.28,45.93,"2,962,082.00","136,048,426.26","136,048,426.26",Bienes Raíces,2420640,US4312841087,New York Stock Exchange Inc.
KMPR,KEMPER CORP,Equity,0.28,80.15,"1,695,417.00","135,887,672.55","135,887,672.55",Financieros,B52KRV2,US4884011002,New York Stock Exchange Inc.
ACM,AECOM,Equity,0.28,30.32,"4,475,714.00","135,703,648.48","135,703,648.48",Industriales,B1VZ431,US00766T1007,New York Stock Exchange Inc.
NSP,INSPERITY INC,Equity,0.28,124.56,"1,089,307.00","135,684,079.92","135,684,079.92",Industriales,2007281,US45778Q1076,New York Stock Exchange Inc.
LFUS,LITTELFUSE INC,Equity,0.28,187.85,"719,937.00","135,240,165.45","135,240,165.45",Tecnología de la Información,2531832,US5370081045,NASDAQ
CABO,CABLE ONE INC,Equity,0.28,943.82,"142,021.00","134,042,260.22","134,042,260.22",Comunicación,BZ07DS4,US12685J1051,New York Stock Exchange Inc.
CASY,CASEYS GENERAL STORES INC,Equity,0.28,127.63,"1,047,885.00","133,741,562.55","133,741,562.55",Productos básicos de consumo,2179414,US1475281036,NASDAQ
OGS,ONE GAS INC,Equity,0.28,88.69,"1,502,586.00","133,264,352.34","133,264,352.34",Servicios,BJ0KXV4,US68235P1084,New York Stock Exchange Inc.
LIVN,LIVANOVA PLC,Equity,0.28,95.62,"1,393,183.00","133,216,158.46","133,216,158.46",Cuidado de la Salud,BYMT0J1,GB00BYMT0J19,NASDAQ
CACI,CACI INTERNATIONAL INC CLASS A,Equity,0.27,185.50,"710,925.00","131,876,587.50","131,876,587.50",Tecnología de la Información,2159267,US1271903049,New York Stock Exchange Inc.
BC,BRUNSWICK CORP,Equity,0.27,52.96,"2,481,352.00","131,412,401.92","131,412,401.92",Consumo discrecional,2149309,US1170431092,New York Stock Exchange Inc.
MDSO,MEDIDATA SOLUTIONS INC,Equity,0.27,74.96,"1,750,861.00","131,244,540.56","131,244,540.56",Cuidado de la Salud,B5424Q0,US58471A1051,NASDAQ
SLM,SLM CORP,Equity,0.27,10.52,"12,471,242.00","131,197,465.84","131,197,465.84",Financieros,2101967,US78442P1066,NASDAQ
RIG,TRANSOCEAN LTD,Equity,0.27,9.04,"14,469,899.00","130,807,886.96","130,807,886.96",Energía,B3KFWW1,CH0048265513,New York Stock Exchange Inc.
LSTR,LANDSTAR SYSTEM INC,Equity,0.27,111.02,"1,176,195.00","130,581,168.90","130,581,168.90",Industriales,2503994,US5150981018,NASDAQ
MMS,MAXIMUS INC,Equity,0.27,71.01,"1,835,183.00","130,316,344.83","130,316,344.83",Tecnología de la Información,2018669,US5779331041,New York Stock Exchange Inc.
LSI,LIFE STORAGE INC,Equity,0.27,96.92,"1,333,505.00","129,243,304.60","129,243,304.60",Bienes Raíces,BDCSFJ6,US53223X1072,New York Stock Exchange Inc.
WSO,WATSCO INC,Equity,0.27,140.54,"919,227.00","129,188,162.58","129,188,162.58",Industriales,2943039,US9426222009,New York Stock Exchange Inc.
WSM,WILLIAMS SONOMA INC,Equity,0.27,56.21,"2,292,997.00","128,889,361.37","128,889,361.37",Consumo discrecional,2967589,US9699041011,New York Stock Exchange Inc.
HAE,HAEMONETICS CORP,Equity,0.27,86.75,"1,479,579.00","128,353,478.25","128,353,478.25",Cuidado de la Salud,2401195,US4050241003,New York Stock Exchange Inc.
JBGS,JBG SMITH PROPERTIES,Equity,0.27,41.04,"3,113,113.00","127,762,157.52","127,762,157.52",Bienes Raíces,BD3BX01,US46590V1008,New York Stock Exchange Inc.
HQY,HEALTHEQUITY INC,Equity,0.26,81.70,"1,557,987.00","127,287,537.90","127,287,537.90",Cuidado de la Salud,BP8XZL1,US42226A1079,NASDAQ
