14-mar-2019,,,,,,,,,,,
iShares Russell 1000 Value ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 38,173,656,092.63",,,,,,,,,,
Number of Securities,722.00,,,,,,,,,,
Share,"306,600,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
AFL,AFLAC INC,Equity,0.29,49.70,"2,209,186.00","109,796,544.20","109,796,544.20",Financieros,2026361,US0010551028,New York Stock Exchange Inc.
KMI,KINDER MORGAN INC,Equity,0.29,19.98,"5,484,849.00","109,587,283.02","109,587,283.02",Energía,B3NQ4P8,US49456B1017,New York Stock Exchange Inc.
MET,METLIFE INC,Equity,0.29,44.84,"2,442,770.00","109,533,806.80","109,533,806.80",Financieros,2573209,US59156R1086,New York Stock Exchange Inc.
COF,CAPITAL ONE FINANCIAL CORP,Equity,0.28,83.21,"1,271,812.00","105,827,476.52","105,827,476.52",Financieros,2654461,US14040H1059,New York Stock Exchange Inc.
VLO,VALERO ENERGY CORP,Equity,0.27,84.94,"1,225,134.00","104,062,881.96","104,062,881.96",Energía,2041364,US91913Y1001,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.27,138.79,"744,738.00","103,362,187.02","103,362,187.02",Tecnología de la Información,2005973,US4592001014,New York Stock Exchange Inc.
ETN,EATON PLC,Equity,0.27,80.99,"1,260,009.00","102,048,128.91","102,048,128.91",Industriales,B8KQN82,IE00B8KQN827,New York Stock Exchange Inc.
SRE,SEMPRA ENERGY,Equity,0.26,124.45,"788,901.00","98,178,729.45","98,178,729.45",Servicios,2138158,US8168511090,New York Stock Exchange Inc.
BAX,BAXTER INTERNATIONAL INC,Equity,0.26,76.51,"1,280,800.00","97,994,008.00","97,994,008.00",Cuidado de la Salud,2085102,US0718131099,New York Stock Exchange Inc.
WMB,WILLIAMS INC,Equity,0.26,27.73,"3,504,281.00","97,173,712.13","97,173,712.13",Energía,2967181,US9694571004,New York Stock Exchange Inc.
ADI,ANALOG DEVICES INC,Equity,0.26,108.25,"896,319.00","97,026,531.75","97,026,531.75",Tecnología de la Información,2032067,US0326541051,NASDAQ
AIG,AMERICAN INTERNATIONAL GROUP INC,Equity,0.25,43.75,"2,195,851.00","96,068,481.25","96,068,481.25",Financieros,2027342,US0268747849,New York Stock Exchange Inc.
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Equity,0.25,36.01,"2,664,265.00","95,940,182.65","95,940,182.65",Industriales,BY7QL61,IE00BY7QL619,New York Stock Exchange Inc.
F,F MOTOR,Equity,0.25,8.41,"11,254,017.00","94,646,282.97","94,646,282.97",Consumo discrecional,2615468,US3453708600,New York Stock Exchange Inc.
ALL,ALLSTATE CORP,Equity,0.25,93.85,"996,898.00","93,558,877.30","93,558,877.30",Financieros,2019952,US0200021014,New York Stock Exchange Inc.
FIS,FIDELITY NATIONAL INFORMATION SERV,Equity,0.24,107.78,"860,340.00","92,727,445.20","92,727,445.20",Tecnología de la Información,2769796,US31620M1062,New York Stock Exchange Inc.
HPQ,HP INC,Equity,0.24,19.64,"4,578,565.00","89,923,016.60","89,923,016.60",Tecnología de la Información,BYX4D52,US40434L1052,New York Stock Exchange Inc.
CSX,CSX CORP,Equity,0.24,73.00,"1,230,212.00","89,805,476.00","89,805,476.00",Industriales,2160753,US1264081035,NASDAQ
NXPI,NXP SEMICONDUCTORS NV,Equity,0.23,92.85,"939,232.00","87,207,691.20","87,207,691.20",Tecnología de la Información,B505PN7,NL0009538784,NASDAQ
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Equity,0.23,59.64,"1,454,116.00","86,723,478.24","86,723,478.24",Servicios,2707677,US7445731067,New York Stock Exchange Inc.
WELL,WELLTOWER INC,Equity,0.22,77.88,"1,072,805.00","83,550,053.40","83,550,053.40",Bienes Raíces,BYVYHH4,US95040Q1040,New York Stock Exchange Inc.
STI,SUNTRUST BANKS INC,Equity,0.22,64.09,"1,293,992.00","82,931,947.28","82,931,947.28",Financieros,2860990,US8679141031,New York Stock Exchange Inc.
XEL,XCEL ENERGY INC,Equity,0.22,56.16,"1,466,205.00","82,342,072.80","82,342,072.80",Servicios,2614807,US98389B1008,NASDAQ
TRV,TRAVELERS COMPANIES INC,Equity,0.21,133.06,"614,109.00","81,713,343.54","81,713,343.54",Financieros,2769503,US89417E1091,New York Stock Exchange Inc.
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.21,200.07,"397,871.00","79,602,050.97","79,602,050.97",Bienes Raíces,2131179,US0534841012,New York Stock Exchange Inc.
GLW,CORNING INC,Equity,0.21,34.22,"2,277,407.00","77,932,867.54","77,932,867.54",Tecnología de la Información,2224701,US2193501051,New York Stock Exchange Inc.
EQR,EQUITY RESIDENTIAL REIT,Equity,0.20,75.06,"1,034,271.00","77,632,381.26","77,632,381.26",Bienes Raíces,2319157,US29476L1070,New York Stock Exchange Inc.
