26-Mar-2019,,,,,,,,,,,,,,,
iShares Expanded Tech Sector ETF,,,,,,,,,,,,,,,
Inception Date,"Mar 13, 2001",,,,,,,,,,,,,,
Fund Holdings as of,"Mar 26, 2019",,,,,,,,,,,,,,
Total Net Assets,"$1,581,615,971.58",,,,,,,,,,,,,,
Number of Securities (excluding cash and derivatives),292.00,,,,,,,,,,,,,,
Share,"7,700,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
DELL,DELL TECHNOLOGIES INC CLASS C,Equity,0.11,58.89,"30,715.00","1,808,806.35","1,808,806.35",Information Technology,BHKD3S6,US24703L2025,New York Stock Exchange Inc.,United States,USD,USD,1.00
EPAM,EPAM SYSTEMS INC,Equity,0.11,170.16,"10,563.00","1,797,400.08","1,797,400.08",Information Technology,B44Z3T8,US29414B1044,New York Stock Exchange Inc.,United States,USD,USD,1.00
QRVO,QUORVO INC,Equity,0.11,71.15,"25,246.00","1,796,252.90","1,796,252.90",Information Technology,BR9YYP4,US74736K1016,NASDAQ,United States,USD,USD,1.00
ON,ON SEMICONDUCTOR CORP,Equity,0.11,21.00,"84,240.00","1,769,040.00","1,769,040.00",Information Technology,2583576,US6821891057,NASDAQ,United States,USD,USD,1.00
CGNX,COGNEX CORP,Equity,0.11,50.16,"35,124.00","1,761,819.84","1,761,819.84",Information Technology,2208288,US1924221039,NASDAQ,United States,USD,USD,1.00
ETSY,ETSY INC,Equity,0.11,67.74,"24,767.00","1,677,716.58","1,677,716.58",Consumer Discretionary,BWTN5N1,US29786A1060,NASDAQ,United States,USD,USD,1.00
WEX,WEX INC,Equity,0.11,188.33,"8,862.00","1,668,980.46","1,668,980.46",Information Technology,B8383P2,US96208T1043,New York Stock Exchange Inc.,United States,USD,USD,1.00
WU,WESTERN UNION,Equity,0.11,18.57,"89,623.00","1,664,299.11","1,664,299.11",Information Technology,B1F76F9,US9598021098,New York Stock Exchange Inc.,United States,USD,USD,1.00
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Equity,0.10,57.60,"28,802.00","1,658,995.20","1,658,995.20",Information Technology,B5367T7,US0995021062,New York Stock Exchange Inc.,United States,USD,USD,1.00
SNAP,SNAP INC CLASS A,Equity,0.10,10.76,"152,527.00","1,641,190.52","1,641,190.52",Communication,BD8DJ71,US83304A1060,New York Stock Exchange Inc.,United States,USD,USD,1.00
ADS,ALLIANCE DATA SYSTEMS CORP,Equity,0.10,169.98,"9,371.00","1,592,882.58","1,592,882.58",Information Technology,2762030,US0185811082,New York Stock Exchange Inc.,United States,USD,USD,1.00
FICO,FAIR ISAAC CORP,Equity,0.10,265.51,"5,977.00","1,586,953.27","1,586,953.27",Information Technology,2330299,US3032501047,New York Stock Exchange Inc.,United States,USD,USD,1.00
GWRE,GUIDEWIRE SOFTWARE INC,Equity,0.10,94.92,"16,661.00","1,581,462.12","1,581,462.12",Information Technology,B7JYSG3,US40171V1008,New York Stock Exchange Inc.,United States,USD,USD,1.00
