26-Mar-2019,,,,,,,,,,
iShares Evolved U.S. Media and Entertainment ETF,,,,,,,,,,
Inception Date,"Mar 21, 2018",,,,,,,,,
Fund Holdings as of,"Mar 26, 2019",,,,,,,,,
Total Net Assets,"$5,279,297.78",,,,,,,,,
Number of Securities (excluding cash and derivatives),85.00,,,,,,,,,
Share,"200,000.00",,,,,,,,,
,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,SEDOL,ISIN,Exchange
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Equity,1.27,96.37,698.00,"67,266.26","67,266.26",2122117,US8740541094,NASDAQ
SBGI,SINCLAIR BROADCAST GROUP INC CLASS,Equity,1.25,38.27,"1,720.00","65,824.40","65,824.40",2799351,US8292261091,NASDAQ
LYV,LIVE NATION ENTERTAINMENT INC,Equity,1.21,63.31,"1,008.00","63,816.48","63,816.48",B0T7YX2,US5380341090,New York Stock Exchange Inc.
NYT,NEW YORK TIMES CLASS A,Equity,1.17,32.61,"1,888.00","61,567.68","61,567.68",2632003,US6501111073,New York Stock Exchange Inc.
FOXA,FOX CORP CLASS A,Equity,1.16,37.54,"1,625.00","61,002.50","61,002.50",BJJMGL2,US35137L1052,NASDAQ
TGNA,TEGNA INC,Equity,1.15,14.11,"4,292.00","60,560.12","60,560.12",BZ0P3Z5,US87901J1051,New York Stock Exchange Inc.
FOX,FOX CORP CLASS B,Equity,1.13,36.71,"1,625.00","59,653.75","59,653.75",BJJMGY5,US35137L2043,NASDAQ
TRCO,TRIBUNE MEDIA COMPANY CLASS A,Equity,1.09,46.10,"1,252.00","57,717.20","57,717.20",B9GRTP5,US8960475031,New York Stock Exchange Inc.
MSG,MADISON SQUARE GARDEN CLASS A,Equity,1.04,286.11,192.00,"54,933.12","54,933.12",BYQCZ35,US55825T1034,New York Stock Exchange Inc.
CNK,CINEMARK HOLDINGS INC,Equity,0.95,40.39,"1,244.00","50,245.16","50,245.16",B1W7RQ0,US17243V1026,New York Stock Exchange Inc.
AMCX,AMC NETWORKS CLASS A INC,Equity,0.93,57.00,864.00,"49,248.00","49,248.00",B4MG4Z6,US00164V1035,NASDAQ
CABO,CABLE ONE INC,Equity,0.89,976.32,48.00,"46,863.36","46,863.36",BZ07DS4,US12685J1051,New York Stock Exchange Inc.
MDP,MEREDITH CORP,Equity,0.81,56.48,760.00,"42,924.80","42,924.80",2578516,US5894331017,New York Stock Exchange Inc.
GTN,GRAY TELEVISION INC,Equity,0.79,21.98,"1,888.00","41,498.24","41,498.24",2390817,US3893751061,New York Stock Exchange Inc.
ROKU,ROKU INC CLASS A,Equity,0.78,64.31,640.00,"41,158.40","41,158.40",BZ1LFG7,US77543R1023,NASDAQ
LGFB,LIONS GATE ENTERTAINMENT NON VOTIN,Equity,0.72,14.86,"2,567.00","38,145.62","38,145.62",BD8NB53,CA5359195008,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.70,31.39,"1,181.00","37,071.59","37,071.59",2831811,US00206R1023,New York Stock Exchange Inc.
SNAP,SNAP INC CLASS A,Equity,0.69,10.76,"3,386.00","36,433.36","36,433.36",BD8DJ71,US83304A1060,New York Stock Exchange Inc.
SIX,SIX FLAGS ENTERTAINMENT CORP,Equity,0.69,48.42,748.00,"36,218.16","36,218.16",B43VKB8,US83001A1025,New York Stock Exchange Inc.
LAMR,LAMAR ADVERTISING COMPANY CLAS,Equity,0.68,77.99,460.00,"35,875.40","35,875.40",BSPHGN6,US5128161099,NASDAQ
DLB,DOLBY LABORATORIES INC CLASS A,Equity,0.68,63.20,564.00,"35,644.80","35,644.80",B04NJM9,US25659T1079,New York Stock Exchange Inc.
GHC,GRAHAM HOLDINGS COMPANY CLASS B,Equity,0.61,673.39,48.00,"32,322.72","32,322.72",BGM1B98,US3846371041,New York Stock Exchange Inc.
