As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
14-Aug-14,589.14,87.23,--,10850000.00
13-Aug-14,588.9,87.2,--,10850000.00
12-Aug-14,585.19,86.65,--,10800000.00
11-Aug-14,584.29,86.51,--,10850000.00
8-Aug-14,583.95,86.47,--,10800000.00
7-Aug-14,577.58,85.53,--,10800000.00
6-Aug-14,582.56,86.27,--,10800000.00
5-Aug-14,578.9,85.72,--,10750000.00
4-Aug-14,584.23,86.51,--,10300000.00
1-Aug-14,577.44,85.51,--,10250000.00
31-Jul-14,577.08,85.46,--,10250000.00
30-Jul-14,588.98,87.22,--,10500000.00
29-Jul-14,592.02,87.67,--,10500000.00
28-Jul-14,596.58,88.35,--,10500000.00
25-Jul-14,594.71,88.07,--,10500000.00
24-Jul-14,592.99,87.82,--,10500000.00
23-Jul-14,594.53,88.05,--,11400000.00
22-Jul-14,592.9,87.81,--,11400000.00
21-Jul-14,591.35,87.58,--,11400000.00
18-Jul-14,593.24,87.86,--,11550000.00
17-Jul-14,589.17,87.26,--,11550000.00
16-Jul-14,593.01,87.83,--,12500000.00
15-Jul-14,588.83,87.22,--,12500000.00
14-Jul-14,590.25,87.43,--,12500000.00
11-Jul-14,590.58,87.48,--,12500000.00
10-Jul-14,589.36,87.3,--,11850000.00
9-Jul-14,593.04,87.84,--,11850000.00
8-Jul-14,590.87,87.52,--,11850000.00
7-Jul-14,593.1,87.85,--,11750000.00
3-Jul-14,598.43,88.65,--,11750000.00
2-Jul-14,594.12,88.01,--,11850000.00
1-Jul-14,592.59,87.78,--,12100000.00
30-Jun-14,590.99,87.55,--,12100000.00
27-Jun-14,587.83,87.09,--,12100000.00
26-Jun-14,589.67,87.36,--,12800000.00
25-Jun-14,590.45,87.48,--,12800000.00
24-Jun-14,585.4,86.73,0.3,12800000.00
23-Jun-14,591.48,87.93,--,12800000.00
20-Jun-14,590.67,87.81,--,12800000.00
19-Jun-14,587.26,87.31,--,12800000.00
18-Jun-14,587.7,87.37,--,12900000.00
17-Jun-14,581.56,86.46,--,12900000.00
16-Jun-14,580.08,86.24,--,12900000.00
13-Jun-14,581.41,86.44,--,12900000.00
12-Jun-14,578.84,86.06,--,12900000.00
11-Jun-14,584.25,86.87,--,12900000.00
10-Jun-14,586.89,87.26,--,12900000.00
9-Jun-14,586.66,87.23,--,12850000.00
6-Jun-14,588.04,87.43,--,12850000.00
5-Jun-14,585.14,87.01,--,12950000.00
4-Jun-14,581.97,86.54,--,12950000.00
3-Jun-14,580,86.25,--,12950000.00
2-Jun-14,581.51,86.47,--,12950000.00
30-May-14,579.4,86.16,--,12950000.00
29-May-14,580.62,86.34,--,12950000.00
28-May-14,574.62,85.45,--,12900000.00
27-May-14,574.59,85.45,--,12750000.00
23-May-14,574.73,85.47,--,12750000.00
22-May-14,570.04,84.78,--,12750000.00
21-May-14,569.11,84.64,--,12650000.00
20-May-14,565.84,84.16,--,11600000.00
19-May-14,569.81,84.75,--,11450000.00
16-May-14,567.1,84.35,--,11450000.00
15-May-14,564.99,84.03,--,11450000.00
14-May-14,573.27,85.26,--,11350000.00
13-May-14,573.18,85.25,--,11350000.00
12-May-14,573.41,85.29,--,11350000.00
9-May-14,565.04,84.05,--,11350000.00
8-May-14,565.23,84.08,--,11350000.00
7-May-14,568.03,84.49,--,11200000.00
6-May-14,563.81,83.87,--,11200000.00
5-May-14,566.54,84.27,--,11200000.00
2-May-14,564.44,83.96,--,11200000.00
1-May-14,561.29,83.5,--,11200000.00
30-Apr-14,564.11,83.92,--,11200000.00
29-Apr-14,560.25,83.35,--,11200000.00
28-Apr-14,555.36,82.62,--,11200000.00
25-Apr-14,557.98,83.01,--,11300000.00
24-Apr-14,562.21,83.64,--,11250000.00
23-Apr-14,564.65,84,--,11250000.00
22-Apr-14,564.5,83.98,--,11250000.00
21-Apr-14,562.96,83.75,--,11250000.00
17-Apr-14,561.93,83.61,--,11250000.00
16-Apr-14,560.71,83.42,--,11300000.00
15-Apr-14,552.69,82.24,--,11300000.00
14-Apr-14,550.3,81.88,--,11350000.00
11-Apr-14,545.98,81.24,--,11350000.00
10-Apr-14,552.24,82.17,--,11350000.00
9-Apr-14,563.79,83.89,--,11350000.00
8-Apr-14,555.73,82.69,--,11350000.00
7-Apr-14,552.86,82.27,--,11300000.00
4-Apr-14,561.51,83.56,--,11300000.00
3-Apr-14,568.1,84.53,--,11300000.00
2-Apr-14,567.33,84.42,--,11200000.00
1-Apr-14,563.31,83.83,--,11200000.00
31-Mar-14,559.46,83.26,--,11200000.00
28-Mar-14,553.55,82.38,--,11200000.00
27-Mar-14,550.66,81.95,--,11200000.00
26-Mar-14,551.96,82.15,--,11200000.00
25-Mar-14,560.29,83.39,0.23,11200000.00
24-Mar-14,557.02,83.12,--,11200000.00
21-Mar-14,561.26,83.76,--,11200000.00
20-Mar-14,558.19,83.3,--,11200000.00
19-Mar-14,555.66,82.93,--,11200000.00
18-Mar-14,560.1,83.59,--,11200000.00
17-Mar-14,556.3,83.02,--,11250000.00
14-Mar-14,551.84,82.36,--,11150000.00
13-Mar-14,550.87,82.22,--,11200000.00
12-Mar-14,555.56,82.92,--,11150000.00
11-Mar-14,555.89,82.97,--,11200000.00
10-Mar-14,561.24,83.77,--,11200000.00
7-Mar-14,562.24,83.92,--,11150000.00
6-Mar-14,565.02,84.33,--,11100000.00
5-Mar-14,562.01,83.89,--,10750000.00
4-Mar-14,560.95,83.73,--,10700000.00
3-Mar-14,552.28,82.44,--,10250000.00
28-Feb-14,553.75,82.66,--,10150000.00
27-Feb-14,552.15,82.42,--,10150000.00
26-Feb-14,547.52,81.74,--,10200000.00
25-Feb-14,543.19,81.09,--,10200000.00
24-Feb-14,541.76,80.88,--,10300000.00
21-Feb-14,544.29,81.26,--,10300000.00
20-Feb-14,545.42,81.43,--,10300000.00
19-Feb-14,539.74,80.58,--,10300000.00
18-Feb-14,543.53,81.15,--,10050000.00
14-Feb-14,542.91,81.06,--,10050000.00
13-Feb-14,538.77,80.44,--,10000000.00
12-Feb-14,533.68,79.69,--,10150000.00
11-Feb-14,534.54,79.82,--,10050000.00
10-Feb-14,527.69,78.8,--,10050000.00
7-Feb-14,525.73,78.51,--,10100000.00
6-Feb-14,519.14,77.53,--,10150000.00
5-Feb-14,511.67,76.41,--,10400000.00
4-Feb-14,511.09,76.33,--,10550000.00
3-Feb-14,506.3,75.61,--,10750000.00
31-Jan-14,519.21,77.54,--,10800000.00
30-Jan-14,521.94,77.95,--,10800000.00
29-Jan-14,519.54,77.59,--,10800000.00
28-Jan-14,517.44,77.28,--,10800000.00
27-Jan-14,514.91,76.9,--,10950000.00
24-Jan-14,517.38,77.27,--,10950000.00
23-Jan-14,532.41,79.51,--,10950000.00
22-Jan-14,539.98,80.64,--,10950000.00
21-Jan-14,544.36,81.29,--,11000000.00
17-Jan-14,542.16,80.97,--,10850000.00
16-Jan-14,543.64,81.19,--,10850000.00
15-Jan-14,543.18,81.12,--,10800000.00
14-Jan-14,538.82,80.48,--,10800000.00
13-Jan-14,531.49,79.39,--,10800000.00
10-Jan-14,538.63,80.45,--,10750000.00
9-Jan-14,536.4,80.12,--,10750000.00
8-Jan-14,538.59,80.45,--,10750000.00
7-Jan-14,535.85,80.04,--,10650000.00
6-Jan-14,537.19,80.24,--,10500000.00
3-Jan-14,540.65,80.76,--,10400000.00
2-Jan-14,541.41,80.87,--,10200000.00
31-Dec-13,545.31,81.46,--,10200000.00
30-Dec-13,543.58,81.2,--,10200000.00
27-Dec-13,543.83,81.24,--,10200000.00
26-Dec-13,541.37,80.87,--,10400000.00
24-Dec-13,538.67,80.47,--,10400000.00
23-Dec-13,532.74,79.59,0.41,10350000.00
20-Dec-13,530.49,79.67,--,10300000.00
19-Dec-13,529.32,79.49,--,9850000.00
18-Dec-13,527.99,79.29,--,9950000.00
17-Dec-13,522.4,78.46,--,9950000.00
16-Dec-13,519.59,78.04,--,9950000.00
13-Dec-13,517.42,77.71,--,9850000.00
12-Dec-13,515.31,77.4,--,9850000.00
11-Dec-13,516.24,77.54,--,9950000.00
10-Dec-13,525.56,78.94,--,9950000.00
9-Dec-13,524.37,78.76,--,9950000.00
6-Dec-13,521.12,78.28,--,10050000.00
5-Dec-13,514.57,77.3,--,10150000.00
4-Dec-13,517.2,77.69,--,10150000.00
3-Dec-13,514.56,77.3,--,10400000.00
2-Dec-13,520.28,78.16,--,10650000.00
29-Nov-13,520.35,78.17,--,10750000.00
27-Nov-13,520.59,78.21,--,10800000.00
26-Nov-13,519.97,78.11,--,10650000.00
25-Nov-13,520.68,78.22,--,10550000.00
22-Nov-13,524.31,78.77,--,10600000.00
21-Nov-13,521.34,78.32,--,10600000.00
20-Nov-13,517.54,77.76,--,10600000.00
19-Nov-13,521.49,78.35,--,10600000.00
18-Nov-13,522.9,78.56,--,10600000.00
15-Nov-13,526.91,79.16,--,10700000.00
14-Nov-13,524.02,78.73,--,10700000.00
13-Nov-13,520.27,78.17,--,10700000.00
12-Nov-13,517.03,77.69,--,10700000.00
11-Nov-13,518.67,77.93,--,10750000.00
8-Nov-13,518.7,77.94,--,10750000.00
7-Nov-13,509.2,76.52,--,10750000.00
6-Nov-13,515.97,77.53,--,10750000.00
5-Nov-13,512.65,77.04,--,10750000.00
4-Nov-13,515.34,77.44,--,10250000.00
1-Nov-13,512.8,77.06,--,10250000.00
31-Oct-13,513.53,77.17,--,9550000.00
30-Oct-13,514.53,77.32,--,9400000.00
29-Oct-13,517.65,77.79,--,9800000.00
28-Oct-13,515.6,77.49,--,9600000.00
