As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
6-Dec-17,"2,036.79",160.43,--,25100000.00
5-Dec-17,"2,023.85",159.42,--,25100000.00
4-Dec-17,"2,021.87",159.26,--,25150000.00
1-Dec-17,"2,059.67",162.24,--,25150000.00
30-Nov-17,"2,070.60",163.1,--,25100000.00
29-Nov-17,"2,054.22",161.82,--,25050000.00
28-Nov-17,"2,108.14",166.06,--,25050000.00
27-Nov-17,"2,104.69",165.79,--,25050000.00
24-Nov-17,"2,105.79",165.88,--,25050000.00
22-Nov-17,"2,095.30",165.06,--,25050000.00
21-Nov-17,"2,099.27",165.37,--,25050000.00
20-Nov-17,"2,074.11",163.4,--,25200000.00
17-Nov-17,"2,066.12",162.78,--,25200000.00
16-Nov-17,"2,076.12",163.56,--,25200000.00
15-Nov-17,"2,049.09",161.44,--,25200000.00
14-Nov-17,"2,063.64",162.59,--,25250000.00
13-Nov-17,"2,069.77",163.07,--,25250000.00
10-Nov-17,"2,070.60",163.14,--,25250000.00
9-Nov-17,"2,070.24",163.12,--,25400000.00
8-Nov-17,"2,089.86",164.66,--,25200000.00
7-Nov-17,"2,079.82",163.87,--,25200000.00
6-Nov-17,"2,078.23",163.75,--,25150000.00
3-Nov-17,"2,069.39",163.06,--,25000000.00
2-Nov-17,"2,050.65",161.59,--,24800000.00
1-Nov-17,"2,048.70",161.44,--,24500000.00
31-Oct-17,"2,049.65",161.54,--,24450000.00
30-Oct-17,"2,039.98",160.78,--,24350000.00
27-Oct-17,"2,030.87",160.07,--,24350000.00
26-Oct-17,"1,972.54",155.47,--,24250000.00
25-Oct-17,"1,964.51",154.84,--,24200000.00
24-Oct-17,"1,975.13",155.68,--,24150000.00
23-Oct-17,"1,968.05",155.13,--,24100000.00
20-Oct-17,"1,976.54",155.8,--,23950000.00
19-Oct-17,"1,964.03",154.82,--,23850000.00
18-Oct-17,"1,971.31",155.39,--,23800000.00
17-Oct-17,"1,964.74",154.88,--,23750000.00
16-Oct-17,"1,963.45",154.78,--,23750000.00
13-Oct-17,"1,955.67",154.17,--,23750000.00
12-Oct-17,"1,945.11",153.34,--,23850000.00
11-Oct-17,"1,945.17",153.34,--,23850000.00
