As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Oct 26, 2017","1,309.29",107.33,--,"5,950,000.00"
"Oct 25, 2017","1,307.48",107.18,--,"5,950,000.00"
"Oct 24, 2017","1,312.21",107.57,--,"5,950,000.00"
"Oct 23, 2017","1,305.41",107.01,--,"5,950,000.00"
"Oct 20, 2017","1,309.66",107.36,--,"5,950,000.00"
"Oct 19, 2017","1,303.00",106.82,--,"5,950,000.00"
"Oct 18, 2017","1,301.79",106.72,--,"5,950,000.00"
"Oct 17, 2017","1,298.24",106.44,--,"5,950,000.00"
"Oct 16, 2017","1,301.57",106.71,--,"5,950,000.00"
"Oct 13, 2017","1,299.28",106.53,--,"5,950,000.00"
"Oct 12, 2017","1,296.15",106.27,--,"5,900,000.00"
"Oct 11, 2017","1,292.91",106.01,--,"5,900,000.00"
"Oct 10, 2017","1,291.19",105.87,--,"5,900,000.00"
"Oct 09, 2017","1,287.79",105.59,--,"5,900,000.00"
"Oct 06, 2017","1,291.18",105.87,--,"5,900,000.00"
"Oct 05, 2017","1,291.44",105.90,--,"5,900,000.00"
"Oct 04, 2017","1,284.96",105.37,--,"5,900,000.00"
"Oct 03, 2017","1,281.20",105.06,--,"5,900,000.00"
"Oct 02, 2017","1,280.61",105.01,--,"5,900,000.00"
"Sep 29, 2017","1,274.79",104.54,--,"5,900,000.00"
"Sep 28, 2017","1,271.40",104.27,--,"5,900,000.00"
"Sep 27, 2017","1,270.81",104.22,--,"5,900,000.00"
"Sep 26, 2017","1,267.87",103.98,0.46,"5,900,000.00"
"Sep 25, 2017","1,267.49",104.41,--,"5,900,000.00"
"Sep 22, 2017","1,267.76",104.44,--,"5,900,000.00"
"Sep 21, 2017","1,268.09",104.47,--,"5,900,000.00"
"Sep 20, 2017","1,273.62",104.92,--,"5,900,000.00"
"Sep 19, 2017","1,275.70",105.09,--,"5,900,000.00"
"Sep 18, 2017","1,278.54",105.33,--,"5,900,000.00"
"Sep 15, 2017","1,278.08",105.30,--,"5,900,000.00"
"Sep 14, 2017","1,274.01",104.96,--,"5,900,000.00"
"Sep 13, 2017","1,276.95",105.21,--,"5,900,000.00"
"Sep 12, 2017","1,280.47",105.50,--,"5,900,000.00"
"Sep 11, 2017","1,277.78",105.28,--,"5,950,000.00"
"Sep 08, 2017","1,261.96",103.98,--,"5,950,000.00"
"Sep 07, 2017","1,263.37",104.10,--,"5,950,000.00"
"Sep 06, 2017","1,257.85",103.65,--,"5,900,000.00"
"Sep 05, 2017","1,255.61",103.46,--,"5,900,000.00"
"Sep 01, 2017","1,261.61",103.96,--,"5,900,000.00"
"Aug 31, 2017","1,260.08",103.84,--,"5,900,000.00"
"Aug 30, 2017","1,251.18",103.11,--,"5,850,000.00"
"Aug 29, 2017","1,244.99",102.60,--,"5,850,000.00"
"Aug 28, 2017","1,246.23",102.70,--,"5,850,000.00"
"Aug 25, 2017","1,247.14",102.78,--,"5,850,000.00"
"Aug 24, 2017","1,244.95",102.60,--,"5,850,000.00"
"Aug 23, 2017","1,244.96",102.61,--,"5,850,000.00"
