As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Dec 18, 2009",310.77,100.91,--,"10,800,000.00"
"Dec 17, 2009",310.76,100.91,--,"10,800,000.00"
"Dec 16, 2009",310.97,100.96,--,"10,600,000.00"
"Dec 15, 2009",311.21,100.94,--,"10,600,000.00"
"Dec 14, 2009",311.21,101.08,--,"10,600,000.00"
"Dec 11, 2009",310.32,100.84,--,"10,600,000.00"
"Dec 10, 2009",309.79,100.65,--,"10,600,000.00"
"Dec 09, 2009",309.65,100.61,--,"10,400,000.00"
"Dec 08, 2009",309.98,100.74,--,"10,400,000.00"
"Dec 07, 2009",310.20,100.85,--,"10,400,000.00"
"Dec 04, 2009",309.66,100.54,--,"10,400,000.00"
"Dec 03, 2009",309.65,100.52,--,"10,400,000.00"
"Dec 02, 2009",310.13,100.75,--,"10,000,000.00"
"Dec 01, 2009",310.54,100.93,0.42,"9,900,000.00"
"Nov 30, 2009",309.45,101.07,--,"9,900,000.00"
"Nov 27, 2009",310.41,101.40,--,"9,900,000.00"
"Nov 25, 2009",312.33,102.01,--,"9,900,000.00"
"Nov 24, 2009",311.62,101.79,--,"9,900,000.00"
"Nov 23, 2009",311.21,101.75,--,"9,900,000.00"
"Nov 20, 2009",310.46,101.42,--,"9,400,000.00"
"Nov 19, 2009",310.33,101.41,--,"9,400,000.00"
"Nov 18, 2009",311.14,101.72,--,"9,400,000.00"
"Nov 17, 2009",310.48,101.51,--,"9,200,000.00"
"Nov 16, 2009",310.03,101.36,--,"9,200,000.00"
"Nov 13, 2009",309.39,101.09,--,"8,900,000.00"
"Nov 12, 2009",309.05,100.98,--,"8,800,000.00"
"Nov 11, 2009",--,100.81,--,"8,800,000.00"
"Nov 10, 2009",308.60,100.80,--,"8,800,000.00"
"Nov 09, 2009",307.74,100.55,--,"8,800,000.00"
"Nov 06, 2009",305.71,99.86,--,"8,800,000.00"
"Nov 05, 2009",305.04,99.63,--,"8,500,000.00"
"Nov 04, 2009",304.55,99.47,--,"8,500,000.00"
"Nov 03, 2009",303.81,99.21,--,"8,500,000.00"
"Nov 02, 2009",305.10,99.80,0.45,"8,400,000.00"
"Oct 30, 2009",306.18,100.57,--,"8,400,000.00"
"Oct 29, 2009",304.94,100.12,--,"8,400,000.00"
"Oct 28, 2009",303.65,99.72,--,"8,400,000.00"
"Oct 27, 2009",305.24,100.23,--,"8,300,000.00"
"Oct 26, 2009",307.22,100.83,--,"8,100,000.00"
"Oct 23, 2009",308.73,101.28,--,"8,100,000.00"
"Oct 22, 2009",308.79,101.37,--,"8,100,000.00"
"Oct 21, 2009",309.79,101.65,--,"8,100,000.00"
"Oct 20, 2009",310.93,102.12,--,"8,000,000.00"
"Oct 19, 2009",310.65,102.08,--,"8,000,000.00"
"Oct 16, 2009",310.76,102.07,--,"8,000,000.00"
"Oct 15, 2009",310.84,102.05,--,"8,000,000.00"
"Oct 14, 2009",312.04,102.53,--,"8,000,000.00"
"Oct 13, 2009",311.56,102.42,--,"7,900,000.00"
"Oct 12, 2009",--,102.50,--,"7,900,000.00"
"Oct 09, 2009",311.62,102.45,--,"7,900,000.00"
"Oct 08, 2009",311.76,102.50,--,"7,800,000.00"
"Oct 07, 2009",310.06,101.90,--,"7,700,000.00"
"Oct 06, 2009",309.92,102.00,--,"7,700,000.00"
"Oct 05, 2009",308.35,101.48,--,"7,500,000.00"
"Oct 02, 2009",305.51,100.47,--,"5,500,000.00"
