As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
2-Feb-04,706.82,106.04,--,1200000.00
30-Jan-04,705.62,105.86,--,1200000.00
29-Jan-04,703.47,105.55,--,1200000.00
28-Jan-04,700.01,105.03,--,1200000.00
27-Jan-04,713.25,107.01,--,1200000.00
26-Jan-04,719.02,107.88,--,1200000.00
23-Jan-04,709.56,106.47,--,1200000.00
22-Jan-04,711.7,106.79,--,1200000.00
21-Jan-04,710.96,106.68,--,1200000.00
20-Jan-04,701.11,105.21,--,1200000.00
16-Jan-04,700.34,105.1,--,1200000.00
15-Jan-04,697.17,104.63,--,1200000.00
14-Jan-04,689.71,103.51,--,1200000.00
13-Jan-04,683.03,102.51,--,1200000.00
12-Jan-04,687.27,103.15,--,1200000.00
9-Jan-04,686.49,103.03,--,1200000.00
8-Jan-04,690.04,103.57,--,1200000.00
7-Jan-04,688.77,103.38,--,1200000.00
6-Jan-04,688.24,103.3,--,1200000.00
5-Jan-04,686.99,103.12,--,1200000.00
2-Jan-04,681.87,102.35,--,1200000.00
31-Dec-03,686.32,103.02,--,1200000.00
30-Dec-03,686.17,103,--,1200000.00
29-Dec-03,684.96,102.82,--,1200000.00
26-Dec-03,676.48,101.55,--,1200000.00
24-Dec-03,675.64,101.43,--,1200000.00
23-Dec-03,677.46,101.71,--,1200000.00
22-Dec-03,675.81,101.46,--,1200000.00
19-Dec-03,671.84,100.87,--,1200000.00
18-Dec-03,669.63,100.54,--,1200000.00
17-Dec-03,663.97,99.69,--,1200000.00
16-Dec-03,665.14,99.87,--,1200000.00
15-Dec-03,659.34,99,--,1200000.00
12-Dec-03,664.01,99.71,0.47,1200000.00
11-Dec-03,662.03,99.89,--,1200000.00
10-Dec-03,656.26,99.02,--,1200000.00
9-Dec-03,659.52,99.51,--,1200000.00
8-Dec-03,668.46,100.86,--,1200000.00
5-Dec-03,660.88,99.72,--,1200000.00
4-Dec-03,666.83,100.62,--,1200000.00
3-Dec-03,667.38,100.71,--,1200000.00
2-Dec-03,668.82,100.92,--,1200000.00
1-Dec-03,669.24,100.99,--,1200000.00
28-Nov-03,662.89,100.04,--,1200000.00
26-Nov-03,663.3,100.1,--,1200000.00
25-Nov-03,659.98,99.6,--,1200000.00
24-Nov-03,657.14,99.18,--,1200000.00
21-Nov-03,650.47,98.18,--,1200000.00
20-Nov-03,646.17,97.53,--,1200000.00
19-Nov-03,649.74,98.07,--,1200000.00
18-Nov-03,645.72,97.46,--,1200000.00
17-Nov-03,652.76,98.53,--,1200000.00
14-Nov-03,655.79,98.99,--,1200000.00
13-Nov-03,665.17,100.4,--,1200000.00
12-Nov-03,665.88,100.51,--,1200000.00
11-Nov-03,661.76,99.89,--,900000.00
10-Nov-03,663.03,100.09,--,900000.00
7-Nov-03,665.73,100.5,--,900000.00
6-Nov-03,670.3,101.19,--,900000.00
5-Nov-03,666.28,100.58,--,900000.00
4-Nov-03,666.83,100.67,--,900000.00
3-Nov-03,668.53,100.92,--,900000.00
