As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Aug 06, 2014","1,919.94",136.83,--,"153,050,000.00"
"Aug 05, 2014","1,917.44",136.66,--,"153,150,000.00"
"Aug 04, 2014","1,926.37",137.30,--,"153,150,000.00"
"Aug 01, 2014","1,915.45",136.53,--,"162,900,000.00"
"Jul 31, 2014","1,920.26",136.87,--,"163,100,000.00"
"Jul 30, 2014","1,959.83",139.68,--,"163,100,000.00"
"Jul 29, 2014","1,955.33",139.37,--,"163,200,000.00"
"Jul 28, 2014","1,965.54",140.10,--,"163,200,000.00"
"Jul 25, 2014","1,968.81",140.34,--,"163,300,000.00"
"Jul 24, 2014","1,982.21",141.29,--,"163,500,000.00"
"Jul 23, 2014","1,979.40",141.09,--,"163,500,000.00"
"Jul 22, 2014","1,981.69",141.26,--,"163,550,000.00"
"Jul 21, 2014","1,970.83",140.49,--,"163,700,000.00"
"Jul 18, 2014","1,978.50",141.03,--,"163,700,000.00"
"Jul 17, 2014","1,954.17",139.30,--,"163,800,000.00"
"Jul 16, 2014","1,975.63",140.83,--,"173,600,000.00"
"Jul 15, 2014","1,977.83",140.99,--,"173,600,000.00"
"Jul 14, 2014","1,984.54",141.47,--,"173,600,000.00"
"Jul 11, 2014","1,976.55",140.90,--,"173,600,000.00"
"Jul 10, 2014","1,979.63",141.12,--,"173,700,000.00"
"Jul 09, 2014","1,992.43",142.03,--,"173,700,000.00"
"Jul 08, 2014","1,988.29",141.74,--,"173,750,000.00"
"Jul 07, 2014","2,002.83",142.78,--,"173,900,000.00"
"Jul 03, 2014","2,021.78",144.13,--,"173,450,000.00"
"Jul 02, 2014","2,010.91",143.35,--,"173,650,000.00"
"Jul 01, 2014","2,023.16",144.23,--,"163,500,000.00"
"Jun 30, 2014","2,006.00",143.01,--,"165,050,000.00"
"Jun 27, 2014","1,996.90",142.36,--,"163,100,000.00"
"Jun 26, 2014","1,986.47",141.62,--,"163,200,000.00"
"Jun 25, 2014","1,989.90",141.86,--,"163,000,000.00"
"Jun 24, 2014","1,977.84",141.00,0.39,"162,900,000.00"
"Jun 23, 2014","1,992.88",142.46,--,"162,900,000.00"
"Jun 20, 2014","1,994.42",142.57,--,"163,950,000.00"
"Jun 19, 2014","1,989.39",142.21,--,"163,950,000.00"
"Jun 18, 2014","1,987.88",142.10,--,"160,700,000.00"
"Jun 17, 2014","1,979.45",141.50,--,"151,250,000.00"
"Jun 16, 2014","1,962.37",140.28,--,"151,250,000.00"
"Jun 13, 2014","1,962.09",140.26,--,"151,150,000.00"
"Jun 12, 2014","1,957.03",139.90,--,"151,150,000.00"
"Jun 11, 2014","1,966.42",140.57,--,"151,150,000.00"
"Jun 10, 2014","1,973.13",141.05,--,"151,150,000.00"
"Jun 09, 2014","1,978.84",141.46,--,"150,950,000.00"
"Jun 06, 2014","1,972.43",141.00,--,"150,650,000.00"
"Jun 05, 2014","1,960.53",140.15,--,"150,550,000.00"
"Jun 04, 2014","1,940.81",138.74,--,"150,550,000.00"
"Jun 03, 2014","1,931.56",138.08,--,"150,550,000.00"
"Jun 02, 2014","1,931.96",138.11,--,"150,550,000.00"
"May 30, 2014","1,926.31",137.71,--,"150,400,000.00"
"May 29, 2014","1,929.86",137.96,--,"150,400,000.00"
"May 28, 2014","1,921.22",137.34,--,"150,600,000.00"
"May 27, 2014","1,925.92",137.68,--,"150,600,000.00"
"May 23, 2014","1,913.70",136.81,--,"150,600,000.00"
"May 22, 2014","1,900.88",135.89,--,"150,100,000.00"
"May 21, 2014","1,889.77",135.10,--,"150,100,000.00"
"May 20, 2014","1,879.39",134.35,--,"150,100,000.00"
"May 19, 2014","1,900.12",135.84,--,"150,100,000.00"
"May 16, 2014","1,889.34",135.07,--,"150,100,000.00"
"May 15, 2014","1,879.78",134.38,--,"150,100,000.00"
"May 14, 2014","1,895.45",135.50,--,"150,100,000.00"
"May 13, 2014","1,910.67",136.59,--,"150,100,000.00"
"May 12, 2014","1,919.46",137.22,--,"150,100,000.00"
"May 09, 2014","1,890.40",135.14,--,"150,100,000.00"
"May 08, 2014","1,885.76",134.81,--,"150,100,000.00"
"May 07, 2014","1,895.18",135.49,--,"150,100,000.00"
"May 06, 2014","1,886.79",134.89,--,"150,100,000.00"
"May 05, 2014","1,900.91",135.90,--,"150,100,000.00"
"May 02, 2014","1,900.68",135.88,--,"150,100,000.00"
"May 01, 2014","1,896.42",135.58,--,"150,100,000.00"
"Apr 30, 2014","1,892.71",135.31,--,"150,800,000.00"
"Apr 29, 2014","1,881.89",134.54,--,"150,800,000.00"
"Apr 28, 2014","1,873.60",133.95,--,"150,100,000.00"
"Apr 25, 2014","1,880.06",134.41,--,"150,100,000.00"
"Apr 24, 2014","1,902.54",136.02,--,"150,100,000.00"
"Apr 23, 2014","1,901.70",135.96,--,"150,100,000.00"
"Apr 22, 2014","1,904.97",136.19,--,"150,200,000.00"
"Apr 21, 2014",--,135.19,--,"150,200,000.00"
"Apr 17, 2014","1,885.79",134.82,--,"150,200,000.00"
"Apr 16, 2014","1,881.53",134.52,--,"150,200,000.00"
"Apr 15, 2014","1,860.31",133.00,--,"150,150,000.00"
"Apr 14, 2014","1,848.27",132.14,--,"150,150,000.00"
"Apr 11, 2014","1,839.75",131.53,--,"150,150,000.00"
"Apr 10, 2014","1,863.28",133.22,--,"150,150,000.00"
"Apr 09, 2014","1,904.44",136.16,--,"150,150,000.00"
"Apr 08, 2014","1,885.84",134.83,--,"150,150,000.00"
"Apr 07, 2014","1,874.80",134.04,--,"150,150,000.00"
"Apr 04, 2014","1,906.98",136.34,--,"150,150,000.00"
"Apr 03, 2014","1,937.73",138.54,--,"150,150,000.00"
"Apr 02, 2014","1,945.41",139.09,--,"150,150,000.00"
"Apr 01, 2014","1,939.67",138.68,--,"150,150,000.00"
"Mar 31, 2014","1,922.75",137.47,--,"150,000,000.00"
"Mar 28, 2014","1,894.34",135.44,--,"150,000,000.00"
"Mar 27, 2014","1,883.94",134.69,--,"149,800,000.00"
"Mar 26, 2014","1,887.88",134.98,--,"149,800,000.00"
"Mar 25, 2014","1,912.21",136.72,0.44,"149,800,000.00"
"Mar 24, 2014","1,909.03",136.93,--,"149,800,000.00"
"Mar 21, 2014",--,137.99,--,"151,200,000.00"
"Mar 20, 2014","1,926.37",138.17,--,"151,200,000.00"
"Mar 19, 2014","1,920.28",137.74,--,"149,650,000.00"
"Mar 18, 2014","1,933.83",138.71,--,"149,050,000.00"
"Mar 17, 2014","1,915.47",137.39,--,"148,900,000.00"
"Mar 14, 2014","1,901.62",136.40,--,"149,000,000.00"
"Mar 13, 2014","1,895.47",135.96,--,"149,050,000.00"
"Mar 12, 2014","1,916.34",137.46,--,"149,050,000.00"
"Mar 11, 2014","1,912.83",137.21,--,"149,050,000.00"
"Mar 10, 2014","1,925.57",138.12,--,"149,050,000.00"
"Mar 07, 2014","1,935.18",138.81,--,"149,050,000.00"
"Mar 06, 2014","1,931.85",138.57,--,"148,850,000.00"
"Mar 05, 2014","1,930.29",138.46,--,"148,850,000.00"
"Mar 04, 2014","1,935.31",138.82,--,"148,850,000.00"
"Mar 03, 2014","1,903.26",136.52,--,"150,300,000.00"
"Feb 28, 2014","1,915.69",137.41,--,"150,050,000.00"
"Feb 27, 2014","1,910.81",137.06,--,"150,050,000.00"
"Feb 26, 2014","1,904.58",136.62,--,"149,850,000.00"
"Feb 25, 2014","1,894.99",135.93,--,"150,100,000.00"
"Feb 24, 2014","1,898.06",136.15,--,"149,900,000.00"
"Feb 21, 2014","1,888.60",135.47,--,"149,750,000.00"
"Feb 20, 2014","1,887.08",135.36,--,"149,750,000.00"
"Feb 19, 2014","1,873.08",134.36,--,"149,750,000.00"
"Feb 18, 2014","1,886.31",135.31,--,"150,300,000.00"
"Feb 14, 2014","1,874.72",134.48,--,"150,400,000.00"
"Feb 13, 2014","1,867.41",133.95,--,"150,400,000.00"
"Feb 12, 2014","1,853.44",132.95,--,"150,400,000.00"
"Feb 11, 2014","1,843.31",132.23,--,"150,400,000.00"
"Feb 10, 2014","1,824.54",130.88,--,"150,400,000.00"
"Feb 07, 2014","1,820.45",130.59,--,"150,400,000.00"
"Feb 06, 2014","1,801.46",129.22,--,"150,700,000.00"
"Feb 05, 2014","1,776.54",127.44,--,"150,850,000.00"
"Feb 04, 2014","1,781.24",127.78,--,"153,050,000.00"
"Feb 03, 2014","1,760.49",126.29,--,"173,600,000.00"
"Jan 31, 2014","1,826.47",131.02,--,"173,600,000.00"
"Jan 30, 2014","1,834.59",131.61,--,"173,600,000.00"
"Jan 29, 2014","1,809.18",129.77,--,"173,000,000.00"
"Jan 28, 2014","1,827.84",131.11,--,"171,950,000.00"
"Jan 27, 2014","1,811.39",129.94,--,"172,250,000.00"
"Jan 24, 2014","1,827.45",131.09,--,"172,250,000.00"
"Jan 23, 2014","1,874.46",134.46,--,"172,950,000.00"
"Jan 22, 2014","1,890.49",135.61,--,"172,950,000.00"
"Jan 21, 2014","1,881.40",134.96,--,"172,250,000.00"
"Jan 17, 2014","1,874.26",134.45,--,"172,100,000.00"
"Jan 16, 2014","1,880.18",134.87,--,"171,900,000.00"
"Jan 15, 2014","1,882.47",135.04,--,"171,900,000.00"
"Jan 14, 2014","1,871.74",134.27,--,"171,350,000.00"
"Jan 13, 2014","1,849.20",132.65,--,"171,350,000.00"
"Jan 10, 2014","1,875.72",134.56,--,"171,000,000.00"
"Jan 09, 2014","1,863.09",133.65,--,"170,750,000.00"
"Jan 08, 2014","1,860.72",133.48,--,"170,750,000.00"
"Jan 07, 2014","1,857.89",133.28,--,"170,350,000.00"
"Jan 06, 2014","1,842.08",132.14,--,"170,000,000.00"
"Jan 03, 2014","1,853.98",133.00,--,"170,000,000.00"
"Jan 02, 2014","1,846.27",132.44,--,"169,950,000.00"
"Dec 31, 2013","1,866.10",133.87,--,"169,800,000.00"
"Dec 30, 2013","1,860.03",133.43,--,"169,200,000.00"
"Dec 27, 2013","1,856.99",133.22,--,"169,200,000.00"
"Dec 26, 2013","1,855.31",133.09,--,"169,050,000.00"
"Dec 24, 2013","1,853.93",133.00,--,"168,500,000.00"
"Dec 23, 2013",--,132.45,0.48,"168,500,000.00"
"Dec 20, 2013","1,832.25",131.92,--,"170,900,000.00"
"Dec 19, 2013","1,812.09",130.47,--,"171,050,000.00"
"Dec 18, 2013","1,826.55",131.51,--,"168,650,000.00"
"Dec 17, 2013","1,804.85",129.95,--,"168,250,000.00"
"Dec 16, 2013","1,805.37",129.99,--,"167,800,000.00"
"Dec 13, 2013","1,791.10",128.96,--,"167,800,000.00"
"Dec 12, 2013","1,784.99",128.52,--,"167,800,000.00"
"Dec 11, 2013","1,784.56",128.49,--,"167,800,000.00"
"Dec 10, 2013","1,814.73",130.66,--,"167,800,000.00"
"Dec 09, 2013","1,820.20",131.06,--,"167,800,000.00"
"Dec 06, 2013","1,818.37",130.93,--,"166,700,000.00"
"Dec 05, 2013","1,803.62",129.86,--,"166,700,000.00"
"Dec 04, 2013","1,801.48",129.71,--,"166,700,000.00"
"Dec 03, 2013","1,803.47",129.85,--,"166,550,000.00"
"Dec 02, 2013","1,809.61",130.30,--,"166,300,000.00"
"Nov 29, 2013","1,810.18",130.34,--,"166,300,000.00"
"Nov 27, 2013","1,816.34",130.78,--,"166,300,000.00"
"Nov 26, 2013","1,812.79",130.53,--,"166,300,000.00"
"Nov 25, 2013","1,811.42",130.43,--,"166,400,000.00"
"Nov 22, 2013","1,815.60",130.73,--,"166,400,000.00"
"Nov 21, 2013","1,811.89",130.46,--,"166,400,000.00"
"Nov 20, 2013","1,789.57",128.86,--,"166,100,000.00"
"Nov 19, 2013","1,793.35",129.13,--,"166,100,000.00"
"Nov 18, 2013","1,806.25",130.06,--,"166,100,000.00"
"Nov 15, 2013","1,819.40",131.01,--,"166,100,000.00"
"Nov 14, 2013","1,813.70",130.60,--,"165,900,000.00"
"Nov 13, 2013","1,805.70",130.02,--,"165,900,000.00"
"Nov 12, 2013","1,787.37",128.70,--,"165,450,000.00"
"Nov 11, 2013","1,790.46",128.92,--,"165,450,000.00"
"Nov 08, 2013",--,128.38,--,"165,450,000.00"
"Nov 07, 2013","1,757.53",126.55,--,"165,450,000.00"
"Nov 06, 2013","1,789.02",128.82,--,"165,450,000.00"
"Nov 05, 2013","1,789.18",128.83,--,"165,450,000.00"
"Nov 04, 2013","1,801.67",129.73,--,"165,450,000.00"
"Nov 01, 2013","1,788.76",128.81,--,"165,450,000.00"
"Oct 31, 2013","1,786.55",128.65,--,"165,450,000.00"
"Oct 30, 2013","1,788.89",128.81,--,"164,900,000.00"
"Oct 29, 2013","1,801.18",129.70,--,"164,800,000.00"
"Oct 28, 2013","1,793.04",129.11,--,"164,200,000.00"
"Oct 25, 2013","1,794.41",129.21,--,"164,200,000.00"
"Oct 24, 2013","1,789.18",128.83,--,"164,200,000.00"
"Oct 23, 2013","1,786.03",128.61,--,"164,200,000.00"
"Oct 22, 2013","1,797.66",129.44,--,"163,300,000.00"
"Oct 21, 2013","1,787.85",128.74,--,"163,100,000.00"
"Oct 18, 2013","1,788.03",128.75,--,"163,100,000.00"
"Oct 17, 2013","1,772.84",127.66,--,"162,700,000.00"
"Oct 16, 2013","1,758.29",126.61,--,"162,500,000.00"
"Oct 15, 2013","1,736.45",125.04,--,"162,500,000.00"
"Oct 14, 2013","1,753.91",126.30,--,"162,150,000.00"
"Oct 11, 2013","1,747.10",125.81,--,"161,700,000.00"
"Oct 10, 2013","1,731.66",124.70,--,"161,700,000.00"
"Oct 09, 2013","1,693.79",121.97,--,"161,400,000.00"
"Oct 08, 2013","1,697.83",122.27,--,"161,200,000.00"
"Oct 07, 2013","1,720.38",123.89,--,"161,200,000.00"
"Oct 04, 2013","1,738.72",125.21,--,"160,000,000.00"
"Oct 03, 2013","1,728.28",124.46,--,"159,800,000.00"
"Oct 02, 2013","1,742.79",125.50,--,"157,800,000.00"
"Oct 01, 2013","1,748.25",125.90,--,"142,000,000.00"
"Sep 30, 2013","1,722.55",124.05,--,"142,000,000.00"
"Sep 27, 2013","1,722.92",124.07,--,"142,150,000.00"
"Sep 26, 2013","1,729.24",124.53,--,"142,200,000.00"
"Sep 25, 2013","1,719.90",123.86,--,"142,200,000.00"
"Sep 24, 2013","1,718.44",123.75,0.45,"142,700,000.00"
"Sep 23, 2013",--,124.04,--,"142,800,000.00"
"Sep 20, 2013","1,723.84",124.59,--,"144,900,000.00"
"Sep 19, 2013","1,736.53",125.51,--,"145,050,000.00"
"Sep 18, 2013","1,740.37",125.79,--,"142,800,000.00"
"Sep 17, 2013","1,723.30",124.55,--,"142,750,000.00"
"Sep 16, 2013","1,709.92",123.59,--,"142,600,000.00"
"Sep 13, 2013","1,701.48",122.98,--,"142,400,000.00"
"Sep 12, 2013","1,697.69",122.71,--,"142,800,000.00"
"Sep 11, 2013","1,702.57",123.06,--,"142,700,000.00"
"Sep 10, 2013","1,700.56",122.91,--,"142,600,000.00"
