As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
6-Oct-15,682.56,84.04,--,3850000.00
5-Oct-15,680.19,83.75,--,4500000.00
2-Oct-15,667.68,82.22,--,4450000.00
1-Oct-15,653.6,80.49,--,4450000.00
30-Sep-15,661.4,81.45,--,4250000.00
29-Sep-15,636.99,78.44,--,3800000.00
28-Sep-15,632.53,77.9,--,3550000.00
25-Sep-15,650.59,80.12,0.45,3600000.00
24-Sep-15,647.12,80.14,--,4150000.00
23-Sep-15,648.24,80.28,--,4200000.00
22-Sep-15,652.98,80.87,--,4200000.00
21-Sep-15,667.91,82.72,--,4200000.00
18-Sep-15,670.12,82.99,--,4300000.00
17-Sep-15,681.42,84.39,--,4300000.00
16-Sep-15,687.48,85.14,--,4300000.00
15-Sep-15,685.75,84.93,--,4300000.00
14-Sep-15,677.54,83.91,--,4400000.00
11-Sep-15,675.51,83.66,--,4400000.00
10-Sep-15,674.99,83.6,--,4400000.00
9-Sep-15,672.2,83.26,--,4250000.00
8-Sep-15,684.39,84.77,--,4250000.00
4-Sep-15,655.4,81.19,--,4450000.00
3-Sep-15,667.33,82.66,--,4450000.00
2-Sep-15,662.06,82.01,--,4400000.00
1-Sep-15,647.03,80.15,--,4400000.00
31-Aug-15,669.97,82.99,--,4000000.00
28-Aug-15,672.66,83.33,--,4000000.00
27-Aug-15,668.11,82.76,--,3900000.00
26-Aug-15,644.08,79.8,--,3600000.00
25-Aug-15,612.84,75.94,--,3600000.00
24-Aug-15,620.49,76.89,--,3750000.00
21-Aug-15,633.65,78.52,--,4150000.00
20-Aug-15,651.38,80.71,--,4350000.00
19-Aug-15,677.17,83.89,--,4500000.00
18-Aug-15,683.39,84.66,--,4500000.00
17-Aug-15,697.47,86.4,--,4450000.00
14-Aug-15,690.68,85.57,--,4550000.00
13-Aug-15,694.86,86.09,--,4750000.00
12-Aug-15,701.99,86.97,--,4350000.00
11-Aug-15,697.85,86.46,--,4300000.00
10-Aug-15,714.03,88.46,--,4300000.00
7-Aug-15,696.72,86.32,--,4400000.00
6-Aug-15,692.68,85.82,--,4400000.00
5-Aug-15,705.15,87.37,--,5050000.00
4-Aug-15,696.56,86.3,--,4500000.00
3-Aug-15,704.18,87.25,--,4550000.00
31-Jul-15,706.29,87.51,--,4950000.00
30-Jul-15,714.89,88.58,--,4550000.00
29-Jul-15,712.15,88.24,--,4550000.00
28-Jul-15,710.83,88.08,--,4400000.00
27-Jul-15,696.61,86.32,--,4400000.00
24-Jul-15,701.63,86.94,--,4550000.00
23-Jul-15,715.86,88.71,--,4400000.00
22-Jul-15,705.61,87.44,--,4150000.00
21-Jul-15,723.88,89.7,--,4350000.00
20-Jul-15,723.5,89.65,--,4150000.00
17-Jul-15,728.47,90.27,--,4300000.00
16-Jul-15,730.17,90.48,--,4550000.00
15-Jul-15,728.43,90.27,--,4650000.00
14-Jul-15,732.95,90.83,--,4600000.00
13-Jul-15,725.1,89.86,--,4950000.00
10-Jul-15,719.54,89.18,--,4250000.00
9-Jul-15,706.17,87.52,--,5050000.00
8-Jul-15,715.58,88.69,--,5000000.00
7-Jul-15,734.87,91.08,--,5400000.00
6-Jul-15,737.27,91.38,--,5700000.00
2-Jul-15,748.62,92.78,--,5700000.00
1-Jul-15,744.93,92.33,--,5650000.00
30-Jun-15,743.19,92.12,--,5250000.00
29-Jun-15,740.49,91.78,--,5250000.00
26-Jun-15,761.65,94.43,--,5550000.00
25-Jun-15,780.71,96.79,--,5650000.00
24-Jun-15,781.43,96.88,0.25,5650000.00
23-Jun-15,789.49,98.14,--,5450000.00
22-Jun-15,794.22,98.73,--,5450000.00
19-Jun-15,788.93,98.07,--,5700000.00
18-Jun-15,791.36,98.38,--,5700000.00
17-Jun-15,780.01,96.97,--,5350000.00
16-Jun-15,779.72,96.93,--,5000000.00
15-Jun-15,777.05,96.6,--,5300000.00
12-Jun-15,778.69,96.81,--,5300000.00
11-Jun-15,785.67,97.68,--,5450000.00
10-Jun-15,786.08,97.73,--,5150000.00
9-Jun-15,775.9,96.47,--,5100000.00
8-Jun-15,776.69,96.57,--,5100000.00
5-Jun-15,791.77,98.44,--,5050000.00
4-Jun-15,791.25,98.38,--,4000000.00
3-Jun-15,798.76,99.31,--,4800000.00
2-Jun-15,803.76,99.93,--,4600000.00
1-Jun-15,813.35,101.13,--,4600000.00
29-May-15,812.21,100.99,--,4900000.00
28-May-15,809.86,100.7,--,4900000.00
27-May-15,808.85,100.58,--,4800000.00
26-May-15,778.48,96.81,--,4800000.00
22-May-15,784.41,97.55,--,4750000.00
21-May-15,782.5,97.31,--,4750000.00
20-May-15,778.18,96.78,--,4850000.00
19-May-15,777,96.63,--,4850000.00
18-May-15,779.94,97,--,4850000.00
15-May-15,772.3,96.06,--,4950000.00
14-May-15,770.99,95.9,--,4950000.00
13-May-15,761.94,94.77,--,5200000.00
12-May-15,757.51,94.22,--,5150000.00
11-May-15,764.14,95.05,--,5150000.00
8-May-15,763.79,95.01,--,5150000.00
7-May-15,756.26,94.07,--,5250000.00
6-May-15,747.73,93.02,--,5250000.00
5-May-15,748.76,93.14,--,5250000.00
4-May-15,765.3,95.2,--,5150000.00
1-May-15,766.9,95.4,--,5450000.00
30-Apr-15,746.02,92.81,--,5700000.00
29-Apr-15,752.32,93.59,--,5700000.00
28-Apr-15,756.73,94.14,--,5700000.00
27-Apr-15,756.22,94.08,--,5750000.00
24-Apr-15,753.63,93.76,--,5750000.00
23-Apr-15,766.26,95.34,--,5600000.00
22-Apr-15,778.6,96.87,--,5600000.00
21-Apr-15,768.01,95.56,--,5600000.00
20-Apr-15,762.77,94.91,--,5600000.00
17-Apr-15,756.03,94.07,--,5600000.00
16-Apr-15,766.89,95.43,--,5700000.00
15-Apr-15,770.4,95.86,--,5550000.00
14-Apr-15,757.95,94.32,--,5550000.00
13-Apr-15,765.19,95.22,--,5550000.00
10-Apr-15,770.11,95.83,--,5550000.00
9-Apr-15,766.99,95.45,--,5450000.00
8-Apr-15,757.51,94.27,--,5650000.00
7-Apr-15,752.61,93.66,--,5600000.00
6-Apr-15,752.33,93.63,--,5600000.00
2-Apr-15,748.52,93.16,--,5700000.00
1-Apr-15,750.71,93.43,--,5700000.00
31-Mar-15,755.38,94.01,--,5850000.00
30-Mar-15,764.34,95.13,--,5850000.00
27-Mar-15,754.11,93.86,--,5850000.00
26-Mar-15,733.39,91.28,--,5900000.00
25-Mar-15,743.7,92.57,0.26,5900000.00
24-Mar-15,779.59,97.3,--,5950000.00
23-Mar-15,786.3,98.14,--,5950000.00
20-Mar-15,793.85,99.08,--,5950000.00
19-Mar-15,782.22,97.64,--,5950000.00
18-Mar-15,780.35,97.4,--,5950000.00
17-Mar-15,774.49,96.67,--,5950000.00
16-Mar-15,780.28,97.4,--,6050000.00
13-Mar-15,768.62,95.95,--,5900000.00
12-Mar-15,763.17,95.27,--,5900000.00
11-Mar-15,763.57,95.32,--,5700000.00
10-Mar-15,761.55,95.07,--,5700000.00
9-Mar-15,776.4,96.92,--,5650000.00
6-Mar-15,773.51,96.57,--,5850000.00
5-Mar-15,782.02,97.63,--,5800000.00
4-Mar-15,781.24,97.53,--,5800000.00
3-Mar-15,782.02,97.63,--,5950000.00
2-Mar-15,797.49,99.56,--,5950000.00
27-Feb-15,775.6,96.83,--,5750000.00
26-Feb-15,777.79,97.11,--,5750000.00
25-Feb-15,772.63,96.47,--,5850000.00
24-Feb-15,776.86,97,--,5850000.00
23-Feb-15,766.56,95.71,--,6150000.00
20-Feb-15,771.5,96.33,--,6000000.00
19-Feb-15,766.84,95.75,--,6000000.00
18-Feb-15,764.76,95.5,--,6000000.00
17-Feb-15,766.91,95.76,--,6050000.00
13-Feb-15,764.52,95.47,--,6000000.00
12-Feb-15,759.03,94.79,--,6000000.00
11-Feb-15,747.02,93.29,--,5800000.00
10-Feb-15,744.39,92.97,--,5800000.00
9-Feb-15,720.02,89.93,--,5950000.00
6-Feb-15,727.94,90.92,--,6050000.00
5-Feb-15,732.01,91.43,--,6050000.00
4-Feb-15,724.92,90.54,--,6200000.00
3-Feb-15,722.14,90.2,--,6200000.00
2-Feb-15,709.37,88.61,--,6050000.00
30-Jan-15,707.02,88.32,--,6250000.00
29-Jan-15,721.62,90.14,--,6250000.00
28-Jan-15,721.02,90.07,--,6250000.00
27-Jan-15,724.67,90.52,--,6250000.00
26-Jan-15,738.3,92.23,--,6400000.00
23-Jan-15,736.29,91.98,--,6450000.00
22-Jan-15,738.4,92.24,--,6350000.00
21-Jan-15,733.73,91.66,--,6550000.00
20-Jan-15,725.51,90.64,--,6550000.00
16-Jan-15,718.25,89.73,--,6600000.00
15-Jan-15,710.3,88.74,--,6600000.00
14-Jan-15,715.87,89.44,--,6750000.00
13-Jan-15,720.11,89.97,--,6700000.00
12-Jan-15,726.87,90.81,--,6700000.00
9-Jan-15,741.69,92.67,--,6600000.00
8-Jan-15,740.75,92.55,--,6550000.00
7-Jan-15,719.77,89.93,--,6650000.00
6-Jan-15,712.81,89.06,--,6650000.00
5-Jan-15,728.78,91.06,--,6750000.00
2-Jan-15,742.99,92.84,--,6750000.00
31-Dec-14,743.15,92.86,--,6800000.00
30-Dec-14,747.61,93.42,--,6900000.00
29-Dec-14,752.03,93.97,--,6800000.00
26-Dec-14,754.1,94.24,--,6800000.00
24-Dec-14,753.4,94.15,0.76,6850000.00
23-Dec-14,752.29,94.77,--,6950000.00
22-Dec-14,753.76,94.96,--,7350000.00
19-Dec-14,742.31,93.52,--,7200000.00
18-Dec-14,744.5,93.8,--,7200000.00
17-Dec-14,730.94,92.09,--,7200000.00
16-Dec-14,715.36,90.14,--,7200000.00
15-Dec-14,720.14,90.74,--,7200000.00
12-Dec-14,726.21,91.51,--,7250000.00
11-Dec-14,739,93.12,--,6700000.00
10-Dec-14,735.56,92.68,--,6700000.00
9-Dec-14,749.49,94.44,--,6650000.00
8-Dec-14,749.61,94.45,--,6650000.00
5-Dec-14,760.49,95.83,--,6650000.00
4-Dec-14,752.97,94.88,--,6650000.00
3-Dec-14,752.02,94.76,--,6650000.00
2-Dec-14,736.76,92.86,--,6550000.00
1-Dec-14,731.72,92.23,--,6400000.00
28-Nov-14,741.48,93.45,--,6500000.00
26-Nov-14,739.04,93.15,--,6400000.00
25-Nov-14,723.37,91.19,--,6400000.00
24-Nov-14,723.49,91.21,--,6450000.00
21-Nov-14,716.45,90.32,--,6550000.00
20-Nov-14,709.24,89.42,--,6600000.00
19-Nov-14,702.65,88.59,--,6200000.00
18-Nov-14,707.41,89.19,--,6300000.00
17-Nov-14,693.88,87.49,--,6450000.00
14-Nov-14,697.14,87.9,--,6500000.00
13-Nov-14,690.87,87.11,--,6550000.00
12-Nov-14,690.68,87.09,--,6450000.00
11-Nov-14,691.3,87.17,--,6450000.00
10-Nov-14,693.26,87.42,--,6450000.00
7-Nov-14,688.12,86.77,--,6450000.00
6-Nov-14,694.39,87.57,--,6350000.00
5-Nov-14,700.5,88.34,--,6300000.00
4-Nov-14,693.61,87.47,--,6450000.00
3-Nov-14,695.52,87.71,--,6200000.00
31-Oct-14,691.17,87.17,--,5850000.00
30-Oct-14,665.4,83.92,--,5850000.00
29-Oct-14,673.11,84.89,--,5800000.00
28-Oct-14,671.93,84.75,--,5800000.00
