As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Jan 13, 2014",773.66,119.11,--,"4,400,000.00"
"Jan 10, 2014",787.78,121.28,--,"4,400,000.00"
"Jan 09, 2014",785.81,120.98,--,"4,400,000.00"
"Jan 08, 2014",785.40,120.92,--,"4,400,000.00"
"Jan 07, 2014",785.69,120.96,--,"4,400,000.00"
"Jan 06, 2014",780.42,120.16,--,"4,400,000.00"
"Jan 03, 2014",786.08,121.03,--,"4,400,000.00"
"Jan 02, 2014",786.46,121.09,--,"4,400,000.00"
"Dec 31, 2013",790.80,121.76,--,"4,300,000.00"
"Dec 30, 2013",787.50,121.25,--,"4,300,000.00"
"Dec 27, 2013",784.60,120.81,--,"4,300,000.00"
"Dec 26, 2013",787.26,121.22,--,"4,300,000.00"
"Dec 24, 2013",783.64,120.67,--,"4,300,000.00"
"Dec 23, 2013",781.26,120.30,0.33,"4,300,000.00"
"Dec 20, 2013",777.74,120.09,--,"4,300,000.00"
"Dec 19, 2013",773.38,119.42,--,"4,300,000.00"
"Dec 18, 2013",773.65,119.47,--,"4,300,000.00"
"Dec 17, 2013",760.26,117.40,--,"4,300,000.00"
"Dec 16, 2013",764.13,118.00,--,"4,300,000.00"
"Dec 13, 2013",759.92,117.36,--,"4,300,000.00"
"Dec 12, 2013",758.53,117.14,--,"4,300,000.00"
"Dec 11, 2013",760.93,117.52,--,"4,300,000.00"
"Dec 10, 2013",766.41,118.36,--,"4,300,000.00"
"Dec 09, 2013",766.53,118.38,--,"4,300,000.00"
"Dec 06, 2013",766.51,118.38,--,"4,300,000.00"
"Dec 05, 2013",760.17,117.41,--,"4,300,000.00"
"Dec 04, 2013",762.34,117.74,--,"4,300,000.00"
"Dec 03, 2013",766.12,118.33,--,"4,300,000.00"
"Dec 02, 2013",770.57,119.02,--,"4,300,000.00"
"Nov 29, 2013",773.48,119.47,--,"4,300,000.00"
"Nov 27, 2013",772.43,119.31,--,"4,300,000.00"
"Nov 26, 2013",769.82,118.91,--,"4,200,000.00"
"Nov 25, 2013",766.74,118.43,--,"4,200,000.00"
"Nov 22, 2013",765.87,118.31,--,"4,200,000.00"
"Nov 21, 2013",760.02,117.40,--,"4,200,000.00"
"Nov 20, 2013",753.59,116.41,--,"4,200,000.00"
"Nov 19, 2013",757.78,117.06,--,"4,200,000.00"
"Nov 18, 2013",760.67,117.51,--,"4,200,000.00"
"Nov 15, 2013",766.03,118.34,--,"4,200,000.00"
"Nov 14, 2013",764.21,118.06,--,"4,150,000.00"
"Nov 13, 2013",759.82,117.38,--,"4,150,000.00"
"Nov 12, 2013",750.69,115.98,--,"4,150,000.00"
"Nov 11, 2013",750.72,115.98,--,"4,150,000.00"
"Nov 08, 2013",748.68,115.67,--,"4,150,000.00"
"Nov 07, 2013",737.97,114.02,--,"4,150,000.00"
"Nov 06, 2013",752.37,116.24,--,"4,150,000.00"
"Nov 05, 2013",751.99,116.19,--,"4,100,000.00"
"Nov 04, 2013",752.12,116.21,--,"4,100,000.00"
"Nov 01, 2013",749.86,115.86,--,"4,100,000.00"
"Oct 31, 2013",746.81,115.39,--,"4,100,000.00"
"Oct 30, 2013",745.21,115.15,--,"4,100,000.00"
"Oct 29, 2013",749.45,115.80,--,"4,100,000.00"
"Oct 28, 2013",744.98,115.12,--,"4,100,000.00"
"Oct 25, 2013",745.67,115.23,--,"4,100,000.00"
"Oct 24, 2013",741.85,114.64,--,"4,100,000.00"
"Oct 23, 2013",734.37,113.49,--,"4,100,000.00"
"Oct 22, 2013",737.79,114.01,--,"4,100,000.00"
"Oct 21, 2013",732.53,113.20,--,"4,050,000.00"
"Oct 18, 2013",731.75,113.09,--,"4,050,000.00"
"Oct 17, 2013",727.69,112.46,--,"4,050,000.00"
"Oct 16, 2013",722.62,111.68,--,"4,050,000.00"
"Oct 15, 2013",714.19,110.38,--,"4,050,000.00"
"Oct 14, 2013",719.48,111.20,--,"4,050,000.00"
"Oct 11, 2013",716.49,110.74,--,"4,050,000.00"
"Oct 10, 2013",710.60,109.83,--,"4,050,000.00"
"Oct 09, 2013",695.69,107.53,--,"4,050,000.00"
"Oct 08, 2013",698.18,107.92,--,"4,050,000.00"
"Oct 07, 2013",707.54,109.36,--,"4,000,000.00"
"Oct 04, 2013",716.43,110.74,--,"4,000,000.00"
"Oct 03, 2013",710.92,109.89,--,"4,000,000.00"
"Oct 02, 2013",717.60,110.92,--,"4,000,000.00"
"Oct 01, 2013",718.16,111.01,--,"4,000,000.00"
"Sep 30, 2013",710.76,109.87,--,"4,000,000.00"
"Sep 27, 2013",713.43,110.29,--,"4,000,000.00"
"Sep 26, 2013",714.33,110.43,--,"4,000,000.00"
"Sep 25, 2013",708.13,109.47,--,"4,000,000.00"
"Sep 24, 2013",711.66,110.02,0.23,"4,000,000.00"
"Sep 23, 2013",712.18,110.33,--,"4,000,000.00"
"Sep 20, 2013",715.94,110.92,--,"4,000,000.00"
"Sep 19, 2013",720.57,111.63,--,"4,050,000.00"
"Sep 18, 2013",720.54,111.63,--,"4,050,000.00"
"Sep 17, 2013",713.94,110.61,--,"4,050,000.00"
"Sep 16, 2013",708.75,109.81,--,"4,050,000.00"
"Sep 13, 2013",705.49,109.31,--,"4,050,000.00"
"Sep 12, 2013",702.28,108.81,--,"4,050,000.00"
"Sep 11, 2013",703.26,108.96,--,"4,050,000.00"
"Sep 10, 2013",698.34,108.21,--,"4,050,000.00"
"Sep 09, 2013",690.86,107.05,--,"4,050,000.00"
"Sep 06, 2013",684.22,106.03,--,"4,100,000.00"
"Sep 05, 2013",684.77,106.11,--,"4,100,000.00"
"Sep 04, 2013",683.88,105.98,--,"4,150,000.00"
"Sep 03, 2013",678.52,105.15,--,"4,150,000.00"
"Aug 30, 2013",674.03,104.46,--,"4,150,000.00"
"Aug 29, 2013",677.20,104.95,--,"4,150,000.00"
"Aug 28, 2013",673.85,104.43,--,"4,150,000.00"
"Aug 27, 2013",672.40,104.21,--,"4,150,000.00"
"Aug 26, 2013",682.87,105.83,--,"4,150,000.00"
"Aug 23, 2013",684.04,106.02,--,"4,150,000.00"
"Aug 22, 2013",683.49,105.93,--,"4,150,000.00"
"Aug 21, 2013",677.48,105.00,--,"4,150,000.00"
"Aug 20, 2013",683.39,105.92,--,"4,150,000.00"
"Aug 19, 2013",678.01,105.09,--,"4,150,000.00"
"Aug 16, 2013",681.25,105.59,--,"4,150,000.00"
"Aug 15, 2013",683.45,105.94,--,"4,150,000.00"
"Aug 14, 2013",695.42,107.79,--,"4,150,000.00"
"Aug 13, 2013",702.09,108.82,--,"4,150,000.00"
"Aug 12, 2013",702.27,108.85,--,"4,100,000.00"
"Aug 09, 2013",702.81,108.94,--,"4,100,000.00"
"Aug 08, 2013",705.59,109.37,--,"4,100,000.00"
"Aug 07, 2013",701.96,108.81,--,"4,100,000.00"
"Aug 06, 2013",706.33,109.49,--,"4,100,000.00"
"Aug 05, 2013",710.84,110.19,--,"4,100,000.00"
"Aug 02, 2013",711.26,110.26,--,"4,100,000.00"
"Aug 01, 2013",708.05,109.76,--,"4,100,000.00"
"Jul 31, 2013",698.50,108.28,--,"4,100,000.00"
"Jul 30, 2013",694.90,107.73,--,"4,100,000.00"
"Jul 29, 2013",696.35,107.95,--,"4,100,000.00"
"Jul 26, 2013",700.23,108.56,--,"4,100,000.00"
"Jul 25, 2013",696.75,108.02,--,"4,100,000.00"
"Jul 24, 2013",695.13,107.77,--,"4,100,000.00"
"Jul 23, 2013",698.13,108.24,--,"4,100,000.00"
"Jul 22, 2013",699.62,108.47,--,"4,100,000.00"
"Jul 19, 2013",699.87,108.51,--,"4,100,000.00"
"Jul 18, 2013",700.46,108.61,--,"4,000,000.00"
"Jul 17, 2013",698.27,108.27,--,"4,000,000.00"
"Jul 16, 2013",696.82,108.04,--,"4,000,000.00"
"Jul 15, 2013",698.74,108.34,--,"4,000,000.00"
"Jul 12, 2013",700.19,108.57,--,"4,000,000.00"
"Jul 11, 2013",696.44,107.99,--,"4,000,000.00"
"Jul 10, 2013",686.81,106.50,--,"3,950,000.00"
"Jul 09, 2013",686.03,106.38,--,"3,900,000.00"
"Jul 08, 2013",682.47,105.83,--,"3,900,000.00"
"Jul 05, 2013",675.64,104.78,--,"3,900,000.00"
"Jul 03, 2013",668.93,103.74,--,"3,900,000.00"
"Jul 02, 2013",666.50,103.36,--,"3,900,000.00"
"Jul 01, 2013",665.42,103.20,--,"3,850,000.00"
"Jun 28, 2013",660.59,102.45,--,"3,850,000.00"
"Jun 27, 2013",660.01,102.36,--,"3,850,000.00"
"Jun 26, 2013",654.70,101.54,0.19,"3,850,000.00"
"Jun 25, 2013",647.63,100.64,--,"3,850,000.00"
"Jun 24, 2013",643.03,99.92,--,"3,850,000.00"
"Jun 21, 2013",648.02,100.70,--,"3,850,000.00"
"Jun 20, 2013",646.17,100.42,--,"3,850,000.00"
"Jun 19, 2013",663.33,103.08,--,"3,850,000.00"
"Jun 18, 2013",670.76,104.23,--,"3,850,000.00"
"Jun 17, 2013",664.05,103.19,--,"3,850,000.00"
"Jun 14, 2013",660.72,102.68,--,"3,850,000.00"
"Jun 13, 2013",662.15,102.90,--,"3,850,000.00"
"Jun 12, 2013",652.14,101.35,--,"3,850,000.00"
"Jun 11, 2013",658.79,102.38,--,"3,850,000.00"
"Jun 10, 2013",664.46,103.26,--,"3,850,000.00"
"Jun 07, 2013",665.31,103.40,--,"3,850,000.00"
"Jun 06, 2013",654.15,101.67,--,"3,850,000.00"
"Jun 05, 2013",648.71,100.83,--,"3,850,000.00"
"Jun 04, 2013",658.38,102.33,--,"3,800,000.00"
"Jun 03, 2013",660.91,102.72,--,"3,800,000.00"
"May 31, 2013",657.90,102.26,--,"3,800,000.00"
"May 30, 2013",665.44,103.43,--,"3,800,000.00"
"May 29, 2013",666.42,103.58,--,"3,800,000.00"
"May 28, 2013",673.98,104.76,--,"3,800,000.00"
"May 24, 2013",669.18,104.02,--,"3,800,000.00"
"May 23, 2013",668.52,103.92,--,"3,800,000.00"
"May 22, 2013",669.70,104.10,--,"3,800,000.00"
"May 21, 2013",675.56,105.01,--,"3,800,000.00"
"May 20, 2013",672.52,104.54,--,"3,800,000.00"
"May 17, 2013",675.50,105.01,--,"3,800,000.00"
"May 16, 2013",670.58,104.25,--,"3,800,000.00"
"May 15, 2013",678.33,105.45,--,"3,800,000.00"
"May 14, 2013",673.99,104.78,--,"3,800,000.00"
"May 13, 2013",667.22,103.73,--,"3,800,000.00"
"May 10, 2013",667.42,103.76,--,"3,800,000.00"
"May 09, 2013",661.83,102.90,--,"3,800,000.00"
"May 08, 2013",662.47,103.00,--,"3,750,000.00"
"May 07, 2013",660.25,102.65,--,"3,800,000.00"
"May 06, 2013",655.54,101.92,--,"3,800,000.00"
"May 03, 2013",654.80,101.81,--,"3,800,000.00"
"May 02, 2013",648.11,100.77,--,"3,800,000.00"
"May 01, 2013",641.40,99.73,--,"3,800,000.00"
"Apr 30, 2013",643.07,99.99,--,"3,800,000.00"
"Apr 29, 2013",641.86,99.81,--,"3,800,000.00"
"Apr 26, 2013",640.48,99.60,--,"3,800,000.00"
"Apr 25, 2013",642.57,99.92,--,"3,800,000.00"
"Apr 24, 2013",638.62,99.31,--,"3,800,000.00"
"Apr 23, 2013",639.40,99.43,--,"3,800,000.00"
"Apr 22, 2013",633.63,98.54,--,"3,800,000.00"
"Apr 19, 2013",631.84,98.26,--,"3,800,000.00"
"Apr 18, 2013",624.47,97.12,--,"3,800,000.00"
"Apr 17, 2013",632.34,98.34,--,"3,800,000.00"
"Apr 16, 2013",638.26,99.26,--,"3,800,000.00"
"Apr 15, 2013",629.61,97.92,--,"3,800,000.00"
"Apr 12, 2013",644.16,100.18,--,"3,800,000.00"
"Apr 11, 2013",641.37,99.75,--,"3,800,000.00"
"Apr 10, 2013",636.34,98.97,--,"3,800,000.00"
"Apr 09, 2013",630.10,98.00,--,"3,750,000.00"
"Apr 08, 2013",630.90,98.13,--,"3,750,000.00"
"Apr 05, 2013",624.45,97.13,--,"3,700,000.00"
"Apr 04, 2013",626.10,97.39,--,"3,700,000.00"
"Apr 03, 2013",622.01,96.75,--,"3,700,000.00"
"Apr 02, 2013",628.57,97.77,--,"3,700,000.00"
"Apr 01, 2013",624.25,97.10,--,"3,700,000.00"
"Mar 28, 2013",627.40,97.60,--,"3,700,000.00"
"Mar 27, 2013",624.34,97.12,--,"3,700,000.00"
"Mar 26, 2013",623.53,97.00,--,"3,700,000.00"
"Mar 25, 2013",619.88,96.43,0.21,"3,700,000.00"
"Mar 22, 2013",621.19,96.85,--,"3,700,000.00"
"Mar 21, 2013",614.92,95.87,--,"3,700,000.00"
"Mar 20, 2013",618.82,96.48,--,"3,700,000.00"
"Mar 19, 2013",611.48,95.34,--,"3,700,000.00"
"Mar 18, 2013",613.89,95.72,--,"3,700,000.00"
"Mar 15, 2013",616.75,96.17,--,"3,700,000.00"
"Mar 14, 2013",620.28,96.72,--,"3,700,000.00"
