As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
20-Jun-18,"33,452.43",204.5,--,11600000.00
19-Jun-18,"33,463.84",204.57,--,11550000.00
18-Jun-18,"33,642.10",205.66,--,11550000.00
15-Jun-18,"33,747.66",206.31,--,11650000.00
14-Jun-18,"33,790.75",206.58,--,11550000.00
13-Jun-18,"33,575.26",205.26,--,11400000.00
12-Jun-18,"33,675.36",205.88,--,11350000.00
11-Jun-18,"33,598.69",205.41,--,11350000.00
8-Jun-18,"33,466.72",204.61,--,11300000.00
7-Jun-18,"33,179.20",202.86,--,11300000.00
6-Jun-18,"33,487.10",204.74,--,11300000.00
5-Jun-18,"33,197.80",202.98,--,11250000.00
4-Jun-18,"33,111.32",202.46,--,11250000.00
1-Jun-18,"32,897.58",201.15,--,11200000.00
31-May-18,"32,382.86",198.01,--,11150000.00
30-May-18,"32,565.14",199.17,--,11100000.00
29-May-18,"32,202.63",196.95,--,11050000.00
25-May-18,"32,455.83",198.46,--,11050000.00
24-May-18,"32,567.06",199.13,--,11000000.00
23-May-18,"32,504.50",198.83,--,11000000.00
22-May-18,"32,274.82",197.43,--,10950000.00
21-May-18,"32,501.07",198.79,--,10950000.00
18-May-18,"32,304.17",197.58,--,10950000.00
17-May-18,"32,106.15",196.34,--,10900000.00
16-May-18,"32,111.84",196.39,--,10750000.00
15-May-18,"31,844.70",194.79,--,10150000.00
14-May-18,"32,290.66",197.48,--,10000000.00
11-May-18,"32,223.74",197.09,--,9750000.00
10-May-18,"32,129.31",196.52,--,9700000.00
9-May-18,"31,636.67",193.54,--,9800000.00
8-May-18,"31,394.14",192.07,--,9750000.00
7-May-18,"31,653.60",193.65,--,9700000.00
4-May-18,"31,418.10",192.25,--,9700000.00
3-May-18,"30,967.74",189.51,--,9800000.00
2-May-18,"30,869.50",188.94,--,9550000.00
1-May-18,"31,097.57",190.33,--,9400000.00
30-Apr-18,"30,763.93",188.29,--,9350000.00
27-Apr-18,"31,168.36",190.76,--,9250000.00
26-Apr-18,"31,123.85",190.49,--,9200000.00
25-Apr-18,"30,727.39",188.07,--,9200000.00
24-Apr-18,"30,640.74",187.55,--,9000000.00
23-Apr-18,"31,093.67",190.33,--,9000000.00
20-Apr-18,"31,102.87",190.39,--,9000000.00
19-Apr-18,"31,228.63",191.16,--,9000000.00
18-Apr-18,"31,391.45",192.15,--,8900000.00
17-Apr-18,"31,159.62",190.73,--,8900000.00
16-Apr-18,"30,795.40",188.5,--,8900000.00
13-Apr-18,"30,398.67",186.08,--,8950000.00
12-Apr-18,"30,453.05",186.41,--,8950000.00
11-Apr-18,"30,188.43",184.79,--,8950000.00
