As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
12-Oct-11,"2,095.74",9.8,--,24500000.00
11-Oct-11,"2,054.35",9.61,--,24500000.00
10-Oct-11,"2,048.49",9.58,--,24500000.00
7-Oct-11,"1,973.74",9.23,--,24800000.00
6-Oct-11,"2,005.56",9.38,--,24800000.00
5-Oct-11,"1,965.71",9.2,--,24800000.00
4-Oct-11,"1,891.09",8.85,--,24800000.00
3-Oct-11,"1,809.66",8.47,--,24800000.00
30-Sep-11,"1,917.64",8.97,--,24800000.00
29-Sep-11,"1,990.55",9.31,--,24800000.00
28-Sep-11,"1,941.98",9.09,--,24800000.00
27-Sep-11,"1,996.68",9.34,--,25100000.00
26-Sep-11,"1,980.00",9.27,--,25100000.00
23-Sep-11,"1,924.06",9,0.03,25850000.00
22-Sep-11,"1,893.28",8.89,--,24850000.00
21-Sep-11,"1,985.72",9.32,--,24850000.00
20-Sep-11,"2,055.45",9.65,--,25000000.00
19-Sep-11,"2,060.95",9.68,--,25000000.00
16-Sep-11,"2,069.61",9.72,--,25000000.00
15-Sep-11,"2,073.72",9.74,--,25000000.00
14-Sep-11,"2,048.64",9.62,--,25000000.00
13-Sep-11,"1,993.15",9.36,--,25000000.00
12-Sep-11,"1,993.61",9.36,--,25000000.00
9-Sep-11,"1,989.69",9.34,--,25150000.00
8-Sep-11,"2,056.06",9.66,--,25150000.00
7-Sep-11,"2,106.31",9.89,--,25150000.00
6-Sep-11,"2,020.95",9.49,--,25150000.00
2-Sep-11,"2,041.20",9.59,--,25150000.00
1-Sep-11,"2,115.49",9.94,--,25350000.00
31-Aug-11,"2,172.59",10.2,--,25350000.00
30-Aug-11,"2,184.64",10.26,--,25350000.00
29-Aug-11,"2,146.50",10.08,--,25350000.00
26-Aug-11,"2,053.63",9.65,--,25050000.00
25-Aug-11,"1,999.76",9.39,--,25050000.00
24-Aug-11,"1,975.53",9.28,--,25050000.00
23-Aug-11,"1,911.60",8.98,--,24750000.00
22-Aug-11,"1,889.72",8.88,--,24750000.00
19-Aug-11,"1,890.96",8.88,--,24750000.00
18-Aug-11,"1,947.32",9.15,--,24750000.00
17-Aug-11,"2,077.48",9.76,--,24750000.00
16-Aug-11,"2,103.38",9.88,--,24200000.00
15-Aug-11,"2,101.38",9.87,--,25700000.00
12-Aug-11,"2,028.86",9.53,--,27400000.00
11-Aug-11,"2,014.30",9.46,--,27900000.00
10-Aug-11,"1,927.67",9.06,--,31500000.00
9-Aug-11,"2,067.27",9.71,--,34750000.00
8-Aug-11,"2,018.08",9.48,--,37450000.00
5-Aug-11,"2,203.76",10.35,--,40800000.00
4-Aug-11,"2,243.42",10.54,--,40300000.00
3-Aug-11,"2,377.70",11.17,--,40300000.00
2-Aug-11,"2,387.38",11.21,--,40500000.00
