As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Feb 29, 2008",963.45,43.85,--,"27,300,000.00"
"Feb 28, 2008",992.97,45.20,--,"27,300,000.00"
"Feb 27, 2008",978.65,44.46,--,"27,300,000.00"
"Feb 26, 2008",986.89,44.82,--,"27,450,000.00"
"Feb 25, 2008",972.60,44.17,--,"27,450,000.00"
"Feb 22, 2008",948.25,43.05,--,"27,450,000.00"
"Feb 21, 2008",940.33,42.67,--,"27,600,000.00"
"Feb 20, 2008",960.48,43.62,--,"27,600,000.00"
"Feb 19, 2008",945.53,42.93,--,"27,600,000.00"
"Feb 15, 2008",922.69,41.88,--,"27,600,000.00"
"Feb 14, 2008",924.45,41.94,--,"27,600,000.00"
"Feb 13, 2008",925.24,41.97,--,"27,600,000.00"
"Feb 12, 2008",904.01,41.00,--,"27,450,000.00"
"Feb 11, 2008",902.09,40.93,--,"27,450,000.00"
"Feb 08, 2008",880.32,39.94,--,"27,450,000.00"
"Feb 07, 2008",868.29,39.35,--,"27,450,000.00"
"Feb 06, 2008",857.12,38.84,--,"27,150,000.00"
"Feb 05, 2008",871.44,39.50,--,"27,150,000.00"
"Feb 04, 2008",905.27,41.00,--,"27,150,000.00"
"Feb 01, 2008",903.82,40.92,--,"27,150,000.00"
"Jan 31, 2008",896.47,40.60,--,"27,150,000.00"
"Jan 30, 2008",893.27,40.48,--,"27,150,000.00"
"Jan 29, 2008",896.67,40.64,--,"27,150,000.00"
"Jan 28, 2008",891.80,40.40,--,"27,150,000.00"
"Jan 25, 2008",876.33,39.73,--,"27,150,000.00"
"Jan 24, 2008",890.58,40.37,--,"27,150,000.00"
"Jan 23, 2008",863.48,39.16,--,"27,150,000.00"
"Jan 22, 2008",860.02,39.05,--,"27,150,000.00"
"Jan 18, 2008",883.71,40.11,--,"27,150,000.00"
"Jan 17, 2008",880.06,39.94,--,"27,150,000.00"
"Jan 16, 2008",914.80,41.53,--,"27,150,000.00"
"Jan 15, 2008",944.51,42.86,--,"27,150,000.00"
"Jan 14, 2008",979.43,44.49,--,"27,150,000.00"
"Jan 11, 2008",963.95,43.75,--,"27,150,000.00"
"Jan 10, 2008",977.58,44.37,--,"27,150,000.00"
"Jan 09, 2008",983.08,44.68,--,"27,150,000.00"
"Jan 08, 2008",968.53,43.99,--,"27,000,000.00"
"Jan 07, 2008",981.54,44.61,--,"27,000,000.00"
"Jan 04, 2008",992.77,45.13,--,"27,000,000.00"
"Jan 03, 2008","1,018.75",46.33,--,"27,000,000.00"
"Jan 02, 2008","1,011.94",46.04,--,"27,000,000.00"
"Dec 31, 2007","1,004.24",45.66,--,"27,000,000.00"
