As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Dec 08, 2003",700.38,23.30,--,"25,050,000.00"
"Dec 05, 2003",700.09,23.28,--,"25,650,000.00"
"Dec 04, 2003",705.74,23.47,--,"25,050,000.00"
"Dec 03, 2003",706.78,23.50,--,"24,900,000.00"
"Dec 02, 2003",717.44,23.86,--,"23,850,000.00"
"Dec 01, 2003",712.32,23.69,--,"23,850,000.00"
"Nov 28, 2003",695.35,23.10,--,"23,850,000.00"
"Nov 26, 2003",692.34,23.00,--,"23,850,000.00"
"Nov 25, 2003",689.62,22.90,--,"23,850,000.00"
"Nov 24, 2003",690.22,22.93,--,"23,850,000.00"
"Nov 21, 2003",668.73,22.18,--,"23,850,000.00"
"Nov 20, 2003",669.78,22.22,--,"24,600,000.00"
"Nov 19, 2003",669.71,22.22,--,"24,600,000.00"
"Nov 18, 2003",661.13,21.93,--,"24,600,000.00"
"Nov 17, 2003",674.71,22.38,--,"24,600,000.00"
"Nov 14, 2003",678.69,22.52,--,"24,600,000.00"
"Nov 13, 2003",705.58,23.41,--,"24,600,000.00"
"Nov 12, 2003",698.48,23.17,--,"24,600,000.00"
"Nov 11, 2003",673.39,22.34,--,"24,600,000.00"
"Nov 10, 2003",684.64,22.72,--,"24,600,000.00"
"Nov 07, 2003",712.31,23.63,--,"24,600,000.00"
"Nov 06, 2003",713.92,23.69,--,"24,900,000.00"
"Nov 05, 2003",707.89,23.49,--,"28,950,000.00"
"Nov 04, 2003",706.43,23.44,--,"28,950,000.00"
"Nov 03, 2003",709.43,23.54,--,"28,950,000.00"
"Oct 31, 2003",715.25,23.74,--,"28,950,000.00"
"Oct 30, 2003",712.03,23.63,--,"28,950,000.00"
"Oct 29, 2003",717.12,23.80,--,"28,950,000.00"
"Oct 28, 2003",721.41,23.94,--,"28,950,000.00"
"Oct 27, 2003",706.84,23.46,--,"28,950,000.00"
"Oct 24, 2003",708.86,23.52,--,"28,950,000.00"
"Oct 23, 2003",702.82,23.32,--,"28,950,000.00"
"Oct 22, 2003",699.99,23.23,--,"29,700,000.00"
"Oct 21, 2003",730.73,24.25,--,"31,350,000.00"
"Oct 20, 2003",702.97,23.33,--,"32,550,000.00"
"Oct 17, 2003",715.27,23.74,--,"32,550,000.00"
"Oct 16, 2003",738.40,24.51,--,"32,550,000.00"
"Oct 15, 2003",739.98,24.56,--,"31,800,000.00"
"Oct 14, 2003",759.57,25.21,--,"31,800,000.00"
"Oct 13, 2003",761.44,25.27,--,"31,800,000.00"
"Oct 10, 2003",751.54,24.95,--,"31,800,000.00"
"Oct 09, 2003",754.32,25.04,--,"31,800,000.00"
"Oct 08, 2003",743.04,24.66,--,"30,900,000.00"
"Oct 07, 2003",757.36,25.14,--,"30,000,000.00"
"Oct 06, 2003",751.28,24.94,--,"30,000,000.00"
"Oct 03, 2003",749.41,24.88,--,"27,000,000.00"
"Oct 02, 2003",746.90,24.79,--,"26,700,000.00"
"Oct 01, 2003",730.14,24.24,--,"28,050,000.00"
"Sep 30, 2003",720.48,23.92,--,"28,050,000.00"
"Sep 29, 2003",723.25,24.01,--,"28,050,000.00"
"Sep 26, 2003",711.27,23.61,--,"28,050,000.00"
"Sep 25, 2003",734.51,24.39,--,"28,050,000.00"
"Sep 24, 2003",749.15,24.87,--,"28,050,000.00"
"Sep 23, 2003",786.16,26.10,--,"28,050,000.00"
"Sep 22, 2003",781.62,25.94,--,"26,400,000.00"
"Sep 19, 2003",799.73,26.55,--,"26,400,000.00"
"Sep 18, 2003",798.07,26.50,--,"26,400,000.00"
"Sep 17, 2003",791.31,26.27,--,"26,400,000.00"
"Sep 16, 2003",785.26,26.07,--,"26,100,000.00"
"Sep 15, 2003",779.30,25.88,0.00,"26,100,000.00"
"Sep 12, 2003",780.31,25.91,--,"26,100,000.00"
"Sep 11, 2003",779.92,25.90,--,"26,100,000.00"
"Sep 10, 2003",773.86,25.70,--,"26,100,000.00"
"Sep 09, 2003",797.52,26.48,--,"26,100,000.00"
"Sep 08, 2003",790.65,26.26,--,"26,100,000.00"
"Sep 05, 2003",760.58,25.26,--,"26,100,000.00"
"Sep 04, 2003",756.69,25.13,--,"26,100,000.00"
"Sep 03, 2003",745.78,24.77,--,"26,100,000.00"
"Sep 02, 2003",755.03,25.07,--,"26,100,000.00"
"Aug 29, 2003",740.84,24.60,--,"26,100,000.00"
"Aug 28, 2003",736.64,24.46,--,"26,100,000.00"
"Aug 27, 2003",719.98,23.91,--,"26,100,000.00"
"Aug 26, 2003",710.70,23.60,--,"26,700,000.00"
"Aug 25, 2003",712.61,23.67,--,"26,850,000.00"
"Aug 22, 2003",714.93,23.74,--,"26,850,000.00"
"Aug 21, 2003",731.45,24.29,--,"26,850,000.00"
"Aug 20, 2003",718.08,23.85,--,"26,850,000.00"
"Aug 19, 2003",709.67,23.57,--,"26,250,000.00"
"Aug 18, 2003",708.07,23.52,--,"26,250,000.00"
"Aug 15, 2003",686.90,22.81,--,"26,250,000.00"
"Aug 14, 2003",687.75,22.84,--,"26,250,000.00"
"Aug 13, 2003",683.49,22.69,--,"26,250,000.00"
"Aug 12, 2003",690.40,22.93,--,"27,600,000.00"
"Aug 11, 2003",668.98,22.22,--,"28,200,000.00"
"Aug 08, 2003",660.61,21.94,--,"28,200,000.00"
"Aug 07, 2003",664.64,22.08,--,"28,200,000.00"
"Aug 06, 2003",656.38,21.80,--,"28,200,000.00"
"Aug 05, 2003",672.47,22.34,--,"28,200,000.00"
"Aug 04, 2003",701.94,23.32,--,"28,500,000.00"
"Aug 01, 2003",712.55,23.67,--,"28,500,000.00"
"Jul 31, 2003",732.77,24.35,--,"28,500,000.00"
"Jul 30, 2003",726.14,24.13,--,"28,500,000.00"
"Jul 29, 2003",735.61,24.44,--,"29,400,000.00"
"Jul 28, 2003",736.33,24.46,--,"29,400,000.00"
"Jul 25, 2003",718.91,23.88,--,"29,400,000.00"
"Jul 24, 2003",710.06,23.59,--,"29,400,000.00"
"Jul 23, 2003",717.40,23.83,--,"29,400,000.00"
"Jul 22, 2003",710.96,23.62,--,"29,400,000.00"
"Jul 21, 2003",699.58,23.24,--,"29,400,000.00"
"Jul 18, 2003",709.32,23.57,--,"29,400,000.00"
"Jul 17, 2003",705.62,23.44,--,"29,400,000.00"
"Jul 16, 2003",729.32,24.23,--,"29,400,000.00"
"Jul 15, 2003",736.32,24.47,--,"28,800,000.00"
"Jul 14, 2003",739.21,24.56,--,"28,800,000.00"
"Jul 11, 2003",730.07,24.26,--,"28,800,000.00"
"Jul 10, 2003",723.56,24.04,--,"28,800,000.00"
"Jul 09, 2003",736.79,24.48,--,"28,800,000.00"
"Jul 08, 2003",726.19,24.13,--,"28,800,000.00"
